"year","county","crop_name","harv_ac"
2016,"Hancock","Corn",174800
2015,"Hancock","Corn",165000
2021,"Hardin","Corn",1080
2020,"Henderson","Corn",96200
2019,"Henderson","Corn",88800
2018,"Henderson","Corn",88200
2017,"Henderson","Corn",92500
2016,"Henderson","Corn",98200
2015,"Henderson","Corn",96300
2021,"Henry","Corn",224500
2020,"Henry","Corn",224500
2019,"Henry","Corn",193500
2018,"Henry","Corn",223500
2017,"Henry","Corn",226500
2016,"Henry","Corn",232000
2015,"Henry","Corn",228000
2021,"Iroquois","Corn",314000
2020,"Iroquois","Corn",313000
2019,"Iroquois","Corn",3e+05
2018,"Iroquois","Corn",313000
2017,"Iroquois","Corn",321000
2016,"Iroquois","Corn",321500
2015,"Iroquois","Corn",339500
2021,"Jackson","Corn",32400
2020,"Jackson","Corn",31800
2019,"Jackson","Corn",25700
2018,"Jackson","Corn",25300
2017,"Jackson","Corn",24300
2016,"Jackson","Corn",30200
2020,"Jasper","Corn",96600
2019,"Jasper","Corn",96000
2018,"Jasper","Corn",90500
2017,"Jasper","Corn",99000
2016,"Jasper","Corn",90900
2015,"Jasper","Corn",101500
2021,"Jefferson","Corn",50700
2020,"Jefferson","Corn",50200
2019,"Jefferson","Corn",29000
2018,"Jefferson","Corn",40400
2017,"Jefferson","Corn",43700
2016,"Jefferson","Corn",39200
2015,"Jefferson","Corn",47600
2020,"Jersey","Corn",56900
2019,"Jersey","Corn",56000
2017,"Jersey","Corn",62000
2016,"Jersey","Corn",64800
2015,"Jersey","Corn",64000
2021,"Jo Daviess","Corn",95200
2020,"Jo Daviess","Corn",103400
2019,"Jo Daviess","Corn",95700
2018,"Jo Daviess","Corn",93100
2017,"Jo Daviess","Corn",87800
2016,"Jo Daviess","Corn",95100
2015,"Jo Daviess","Corn",93400
2020,"Johnson","Corn",6770
2017,"Johnson","Corn",5700
2016,"Johnson","Corn",6900
2021,"Kane","Corn",71000
2020,"Kane","Corn",74600
2019,"Kane","Corn",55000
2018,"Kane","Corn",74400
2017,"Kane","Corn",71300
2016,"Kane","Corn",72800
2015,"Kane","Corn",74300
2021,"Kankakee","Corn",173300
2020,"Kankakee","Corn",173400
2018,"Kankakee","Corn",175000
2017,"Kankakee","Corn",182300
2016,"Kankakee","Corn",182800
2015,"Kankakee","Corn",185800
2021,"Kendall","Corn",69500
2020,"Kendall","Corn",68400
2019,"Kendall","Corn",59300
2018,"Kendall","Corn",73500
2017,"Kendall","Corn",72900
2016,"Kendall","Corn",77300
2021,"Knox","Corn",154500
2020,"Knox","Corn",153800
2019,"Knox","Corn",152100
2018,"Knox","Corn",157400
2017,"Knox","Corn",150200
2016,"Knox","Corn",153700
2015,"Knox","Corn",160400
2020,"LaSalle","Corn",283000
2019,"LaSalle","Corn",243000
2018,"LaSalle","Corn",279500
2017,"LaSalle","Corn",277500
2016,"LaSalle","Corn",285000
2015,"LaSalle","Corn",286000
2021,"Lake","Corn",6310
2020,"Lake","Corn",8300
2019,"Lake","Corn",4800
2017,"Lake","Corn",7900
2016,"Lake","Corn",8400
2015,"Lake","Corn",7700
2021,"Lawrence","Corn",74800
2020,"Lawrence","Corn",71500
2019,"Lawrence","Corn",68500
2018,"Lawrence","Corn",68700
2017,"Lawrence","Corn",76600
2015,"Lawrence","Corn",74800
2021,"Lee","Corn",225500
2020,"Lee","Corn",243000
2019,"Lee","Corn",208000
2018,"Lee","Corn",233500
2017,"Lee","Corn",237500
2016,"Lee","Corn",256000
2015,"Lee","Corn",256000
2021,"Livingston","Corn",286500
2020,"Livingston","Corn",289500
2019,"Livingston","Corn",262500
2018,"Livingston","Corn",294000
2017,"Livingston","Corn",289500
2016,"Livingston","Corn",295500
2015,"Livingston","Corn",297000
2021,"Logan","Corn",165100
2020,"Logan","Corn",183100
2019,"Logan","Corn",180500
2018,"Logan","Corn",171300
2017,"Logan","Corn",182300
2016,"Logan","Corn",199300
2015,"Logan","Corn",194500
2021,"Macon","Corn",133200
2020,"Macon","Corn",146300
2019,"Macon","Corn",147300
2018,"Macon","Corn",147800
2017,"Macon","Corn",142600
2016,"Macon","Corn",156200
2015,"Macon","Corn",153800
2021,"Macoupin","Corn",174700
2020,"Macoupin","Corn",178300
2019,"Macoupin","Corn",176500
2018,"Macoupin","Corn",170500
2017,"Macoupin","Corn",179500
