"year","county","harv_ac"
2020,"Kankakee",173400
2018,"Kankakee",175000
2017,"Kankakee",182300
2016,"Kankakee",182800
2015,"Kankakee",185800
2021,"Kendall",69500
2020,"Kendall",68400
2019,"Kendall",59300
2018,"Kendall",73500
2017,"Kendall",72900
2016,"Kendall",77300
2021,"Knox",154500
2020,"Knox",153800
2019,"Knox",152100
2018,"Knox",157400
2017,"Knox",150200
2016,"Knox",153700
2015,"Knox",160400
2020,"LaSalle",283000
2019,"LaSalle",243000
2018,"LaSalle",279500
2017,"LaSalle",277500
2016,"LaSalle",285000
2015,"LaSalle",286000
2021,"Lake",6310
2020,"Lake",8300
2019,"Lake",4800
2017,"Lake",7900
2016,"Lake",8400
2015,"Lake",7700
2021,"Lawrence",74800
2020,"Lawrence",71500
2019,"Lawrence",68500
2018,"Lawrence",68700
2017,"Lawrence",76600
2015,"Lawrence",74800
2021,"Lee",225500
2020,"Lee",243000
2019,"Lee",208000
2018,"Lee",233500
2017,"Lee",237500
2016,"Lee",256000
2015,"Lee",256000
2021,"Livingston",286500
2020,"Livingston",289500
2019,"Livingston",262500
2018,"Livingston",294000
2017,"Livingston",289500
2016,"Livingston",295500
2015,"Livingston",297000
2021,"Logan",165100
2020,"Logan",183100
2019,"Logan",180500
2018,"Logan",171300
2017,"Logan",182300
2016,"Logan",199300
2015,"Logan",194500
2021,"Macon",133200
2020,"Macon",146300
2019,"Macon",147300
2018,"Macon",147800
2017,"Macon",142600
2016,"Macon",156200
2015,"Macon",153800
2021,"Macoupin",174700
2020,"Macoupin",178300
2019,"Macoupin",176500
2018,"Macoupin",170500
2017,"Macoupin",179500
2016,"Macoupin",182400
2015,"Macoupin",185800
2021,"Madison",104100
2020,"Madison",104300
2019,"Madison",97600
2018,"Madison",101400
2017,"Madison",103600
2016,"Madison",108500
2015,"Madison",112100
2021,"Marion",78600
2020,"Marion",77500
2019,"Marion",60700
2018,"Marion",60600
2017,"Marion",71900
2016,"Marion",66800
2015,"Marion",76700
2021,"Marshall",93200
2020,"Marshall",91900
2019,"Marshall",96500
2018,"Marshall",95300
2017,"Marshall",96800
2016,"Marshall",101100
2015,"Marshall",98800
2021,"Mason",116300
2020,"Mason",119900
2019,"Mason",127000
2017,"Mason",116800
2016,"Mason",129800
2015,"Mason",132300
2020,"Massac",22000
2019,"Massac",21400
2017,"Massac",21200
2016,"Massac",24500
2015,"Massac",23800
2020,"McDonough",138100
2019,"McDonough",133700
2018,"McDonough",135900
2017,"McDonough",144100
2016,"McDonough",149700
2015,"McDonough",150500
2020,"McHenry",85000
2018,"McHenry",87300
2017,"McHenry",84500
2016,"McHenry",93800
2015,"McHenry",91000
2021,"McLean",313000
2020,"McLean",311500
2019,"McLean",310500
2018,"McLean",312000
2017,"McLean",305000
2016,"McLean",322500
2015,"McLean",317000
2021,"Menard",75400
2020,"Menard",77200
2017,"Menard",77800
2016,"Menard",81500
2015,"Menard",80000
2020,"Mercer",145300
2019,"Mercer",134500
2018,"Mercer",139400
2017,"Mercer",136600
2016,"Mercer",141600
2015,"Mercer",138000
2021,"Monroe",50700
2020,"Monroe",48800
2019,"Monroe",35800
2018,"Monroe",48600
2017,"Monroe",46100
2016,"Monroe",52300
2015,"Monroe",49200
2021,"Montgomery",154000
2020,"Montgomery",159500
2019,"Montgomery",150700
2018,"Montgomery",155300
2017,"Montgomery",156200
2016,"Montgomery",167000
2015,"Montgomery",162000
2020,"Morgan",131800
2019,"Morgan",130700
2018,"Morgan",129700
2017,"Morgan",131000
2016,"Morgan",146900
2015,"Morgan",144100
2021,"Moultrie",81000
2020,"Moultrie",84700
2019,"Moultrie",86600
2018,"Moultrie",86600
2017,"Moultrie",84700
2016,"Moultrie",89500
2015,"Moultrie",88200
2021,"Ogle",213500
2020,"Ogle",230500
2019,"Ogle",204000
2018,"Ogle",211500
2017,"Ogle",214000
2016,"Ogle",220000
2015,"Ogle",234000
2021,"Peoria",101200
2020,"Peoria",105300
2019,"Peoria",99900
2018,"Peoria",103000
2017,"Peoria",101800
2016,"Peoria",106300
2015,"Peoria",106100
2020,"Perry",45900
2018,"Perry",41500
2017,"Perry",44000
2016,"Perry",46100
2015,"Perry",48000
2021,"Piatt",122400
2020,"Piatt",120400
2019,"Piatt",130800
2018,"Piatt",121800
2017,"Piatt",132500
2016,"Piatt",136400
2015,"Piatt",139000
2020,"Pike",155900
2018,"Pike",148300
2017,"Pike",149500
2016,"Pike",175400
2015,"Pike",171100
2020,"Pope",6480
2016,"Pope",7500
2015,"Pope",7400
2021,"Pulaski",16400
2020,"Pulaski",15000
2019,"Pulaski",13400
2017,"Pulaski",13200
2016,"Pulaski",16800
2015,"Pulaski",18500
2021,"Putnam",31800
2020,"Putnam",32500
2018,"Putnam",32000
2017,"Putnam",34000
2016,"Putnam",37000
2015,"Putnam",35300
2021,"Randolph",64900
2020,"Randolph",62000
2019,"Randolph",51400
2018,"Randolph",58100
2017,"Randolph",60100
2016,"Randolph",65300
2015,"Randolph",57500
2020,"Richland",73100
2018,"Richland",68200
2017,"Richland",74000
2016,"Richland",70900
2015,"Richland",76000
2021,"Rock Island",66600
2020,"Rock Island",65500
2018,"Rock Island",66000
2017,"Rock Island",63300
2016,"Rock Island",59700
2015,"Rock Island",67100
2021,"Saline",48600
2020,"Saline",45700
2018,"Saline",37600
2017,"Saline",42200
2016,"Saline",41900
2015,"Saline",44300
2021,"Sangamon",191000
2020,"Sangamon",220000
2019,"Sangamon",221000
2018,"Sangamon",189100
2017,"Sangamon",206500
2016,"Sangamon",229500
2015,"Sangamon",228000
2021,"Schuyler",59700
2020,"Schuyler",60900
2019,"Schuyler",54600
2018,"Schuyler",62500
2017,"Schuyler",64900
2016,"Schuyler",71600
2015,"Schuyler",70100
2021,"Scott",49200
2020,"Scott",53600
2017,"Scott",47100
2016,"Scott",55000
2015,"Scott",51100
2021,"Shelby",162400
2020,"Shelby",171600
2019,"Shelby",165300
2018,"Shelby",167700
2017,"Shelby",165800
2016,"Shelby",176000
2015,"Shelby",179500
2021,"St. Clair",91100
2020,"St. Clair",93500
2019,"St. Clair",84900
2018,"St. Clair",89900
2017,"St. Clair",86900
2016,"St. Clair",94700
2015,"St. Clair",83800
