Year,Crop,FIPS,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2018,soybean,1,Adams,325,1.22,5.40,112,34.50,0.62,192,59.10,1.24,14,4.30,3.31,7,2.20,6.12
2018,soybean,3,Alexander,96,4.17,5.69,28,29.20,1.79,2,2.10,1.27,2,2.10,1.58,64,66.70,5.38
2018,soybean,5,Bond,183,1.15,4.19,34,18.60,0.52,121,66.10,0.98,22,12.00,2.46,6,3.30,3.44
2018,soybean,7,Boone,176,1.36,3.17,44,25.00,0.27,82,46.60,1.30,31,17.60,2.14,19,10.80,2.87
2018,soybean,9,Brown,224,1.79,5.23,78,34.80,0.63,64,28.60,1.42,57,25.40,2.32,25,11.20,5.12
2018,soybean,11,Bureau,189,0.87,2.68,37,19.60,0.53,124,65.60,0.73,21,11.10,1.49,7,3.70,3.41
2018,soybean,13,Calhoun,138,3.28,8.82,63,45.70,0.88,36,26.10,2.30,18,13.00,3.91,21,15.20,11.63
2018,soybean,15,Carroll,116,1.78,6.30,45,38.80,0.79,64,55.20,2.30,6,5.20,3.15,1,0.90,5.39
2018,soybean,17,Cass,218,1.21,6.53,116,53.20,0.93,101,46.30,1.53,1,0.50,2.23,0,0.00,NA
2018,soybean,19,Champaign,401,1.07,2.24,95,23.70,0.16,57,14.20,0.60,167,41.60,1.14,82,20.40,2.32
2018,soybean,21,Christian,218,1.99,3.42,6,2.80,0.18,22,10.10,0.92,190,87.20,2.18,0,0.00,NA
2018,soybean,23,Clark,241,2.12,3.51,21,8.70,0.69,60,24.90,1.32,110,45.60,1.99,50,20.70,3.98
2018,soybean,25,Clay,343,2.20,5.00,158,46.10,0.80,101,29.40,2.06,15,4.40,2.38,69,20.10,5.58
2018,soybean,27,Clinton,255,3.18,3.92,42,16.50,0.43,30,11.80,1.45,3,1.20,2.24,180,70.60,4.13
2018,soybean,29,Coles,269,2.08,3.98,29,10.80,0.42,103,38.30,1.09,93,34.60,2.48,44,16.40,4.65
2018,soybean,31,Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,soybean,33,Crawford,275,2.80,5.08,44,16.00,0.88,32,11.60,1.44,127,46.20,3.14,72,26.20,3.98
2018,soybean,35,Cumberland,319,1.99,3.47,51,16.00,0.40,79,24.80,0.84,97,30.40,2.03,92,28.80,3.82
2018,soybean,37,DeKalb,148,1.37,3.46,33,22.30,0.70,73,49.30,1.24,36,24.30,1.86,6,4.10,3.68
2018,soybean,39,DeWitt,324,1.52,3.58,48,14.80,0.44,134,41.40,0.94,112,34.60,1.77,30,9.30,4.90
2018,soybean,41,Douglas,260,1.25,2.37,30,11.50,0.23,49,18.80,0.97,151,58.10,1.34,30,11.50,2.28
2018,soybean,43,DuPage,NA,,,,0.00,,,0.00,,,0.00,,,0.00,
2018,soybean,45,Edgar,225,1.30,4.79,95,42.20,0.36,75,33.30,1.13,28,12.40,2.11,27,12.00,4.21
2018,soybean,47,Edwards,204,1.77,7.25,145,71.10,1.00,30,14.70,2.98,13,6.40,3.11,16,7.80,5.43
2018,soybean,49,Effingham,316,1.29,2.36,58,18.40,0.33,65,20.60,0.83,100,31.60,0.93,93,29.40,2.60
2018,soybean,51,Fayette,427,1.73,3.16,92,21.50,0.57,109,25.50,0.96,98,23.00,1.46,128,30.00,3.43
2018,soybean,53,Ford,318,1.60,2.71,85,26.70,0.29,34,10.70,0.66,107,33.60,1.45,92,28.90,3.32
2018,soybean,55,Franklin,263,3.42,8.54,141,53.60,2.01,66,25.10,2.36,33,12.50,6.74,23,8.70,10.39
2018,soybean,57,Fulton,257,1.06,5.28,167,65.00,0.68,52,20.20,1.27,35,13.60,2.26,3,1.20,4.57
2018,soybean,59,Gallatin,243,2.39,4.48,74,30.50,0.55,27,11.10,1.72,32,13.20,2.34,110,45.30,3.80
2018,soybean,61,Greene,302,1.50,4.56,152,50.30,0.75,98,32.50,1.14,10,3.30,3.77,42,13.90,4.49
2018,soybean,63,Grundy,243,0.76,2.00,116,47.70,0.23,75,30.90,0.68,39,16.00,1.36,13,5.30,4.10
2018,soybean,65,Hamilton,211,2.40,7.04,120,56.90,1.82,16,7.60,1.56,31,14.70,3.10,44,20.90,3.82
2018,soybean,67,Hancock,244,1.02,4.32,127,52.00,0.71,67,27.50,1.07,40,16.40,1.78,10,4.10,1.49
2018,soybean,69,Hardin,24,11.81,14.25,3,12.50,1.26,0,0.00,NA,5,20.80,8.09,16,66.70,14.95
2018,soybean,71,Henderson,209,1.63,6.10,84,40.20,1.05,100,47.80,1.98,24,11.50,2.01,1,0.50,7.46
2018,soybean,73,Henry,269,1.20,6.86,102,37.90,0.89,139,51.70,1.18,24,8.90,2.38,3,1.10,2.20
2018,soybean,75,Iroquois,210,0.51,1.66,64,30.50,0.15,109,51.90,0.38,27,12.90,0.91,10,4.80,3.20
2018,soybean,77,Jackson,206,4.17,7.56,73,35.40,2.87,15,7.30,1.86,14,6.80,5.95,104,50.50,5.17
2018,soybean,79,Jasper,282,1.24,2.57,71,25.20,0.41,62,22.00,1.06,83,29.40,1.21,66,23.40,2.33
2018,soybean,81,Jefferson,271,4.33,10.34,141,52.00,2.83,47,17.30,3.20,53,19.60,6.28,30,11.10,9.75
2018,soybean,83,Jersey,202,2.03,8.67,105,52.00,0.78,66,32.70,2.73,25,12.40,4.45,6,3.00,6.10
2018,soybean,85,JoDaviess,115,2.63,10.20,52,45.20,1.21,53,46.10,2.86,6,5.20,9.17,4,3.50,8.32
2018,soybean,87,Johnson,64,5.49,16.34,46,71.90,3.00,6,9.40,4.35,9,14.10,12.12,3,4.70,26.06
2018,soybean,89,Kane,141,1.18,2.71,33,23.40,0.54,67,47.50,0.86,26,18.40,1.80,15,10.60,2.99
2018,soybean,91,Kankakee,204,0.40,1.18,82,40.20,0.27,66,32.40,0.37,44,21.60,0.49,12,5.90,1.17
2018,soybean,93,Kendall,200,0.65,1.75,72,36.00,0.19,66,33.00,0.53,57,28.50,1.18,5,2.50,2.99
2018,soybean,95,Knox,192,1.16,5.19,149,77.60,0.82,37,19.30,2.02,6,3.10,4.25,0,0.00,NA
2018,soybean,97,Lake,,,,,0.00,,,0.00,,,0.00,,,0.00,
2018,soybean,99,LaSalle,211,1.08,2.36,75,35.50,0.30,62,29.40,0.69,23,10.90,1.45,51,24.20,2.53
2018,soybean,101,Lawrence,295,1.38,4.28,131,44.40,0.83,63,21.40,1.25,63,21.40,2.17,38,12.90,2.14
2018,soybean,103,Lee,166,0.78,2.64,38,22.90,0.42,102,61.40,0.67,20,12.00,1.26,6,3.60,3.28
2018,soybean,105,Livingston,290,0.90,2.59,47,16.20,0.42,181,62.40,0.67,38,13.10,1.29,24,8.30,3.00
2018,soybean,107,Logan,261,0.86,3.73,79,30.30,0.50,152,58.20,0.92,29,11.10,1.55,1,0.40,1.64
2018,soybean,109,McDonough,223,1.80,7.40,126,56.50,0.80,65,29.10,2.05,26,11.70,4.65,6,2.70,7.96
2018,soybean,111,McHenry,142,1.59,5.69,40,28.20,0.79,85,59.90,1.30,0,0.00,NA,17,12.00,4.95
2018,soybean,113,McLean,375,1.22,6.13,139,37.10,0.54,211,56.30,1.38,20,5.30,3.21,5,1.30,5.71
2018,soybean,115,Macon,258,1.38,3.35,44,17.10,0.38,118,45.70,0.84,73,28.30,1.94,23,8.90,4.27
2018,soybean,117,Macoupin,334,1.14,2.92,78,23.40,0.37,136,40.70,0.77,82,24.60,1.38,38,11.40,3.47
2018,soybean,119,Madison,167,2.42,4.61,4,2.40,0.25,75,44.90,0.97,57,34.10,2.31,31,18.60,6.42
2018,soybean,121,Marion,244,1.47,3.48,84,34.40,0.58,68,27.90,0.80,37,15.20,1.74,55,22.50,3.49
2018,soybean,123,Marshall,188,0.78,3.46,62,33.00,0.37,81,43.10,0.79,44,23.40,1.32,1,0.50,1.42
2018,soybean,125,Mason,230,1.01,3.82,99,43.00,0.69,81,35.20,1.13,50,21.70,1.44,0,0.00,NA
2018,soybean,127,Massac,173,1.35,8.72,147,85.00,1.09,10,5.80,2.20,2,1.20,3.43,14,8.10,3.18
2018,soybean,129,Menard,228,1.50,6.38,108,47.40,0.86,73,32.00,1.54,43,18.90,2.86,4,1.80,3.34
2018,soybean,131,Mercer,194,1.27,5.64,117,60.30,0.75,63,32.50,1.95,12,6.20,2.40,2,1.00,3.20
2018,soybean,133,Monroe,172,4.95,13.62,35,20.30,2.42,83,48.30,4.06,34,19.80,7.24,20,11.60,9.18
2018,soybean,135,Montgomery,188,1.38,3.23,40,21.30,0.37,71,37.80,0.84,57,30.30,1.64,20,10.60,4.56
2018,soybean,137,Morgan,373,1.75,5.89,125,33.50,0.60,129,34.60,1.32,106,28.40,3.18,13,3.50,5.43
2018,soybean,139,Moultrie,232,1.27,2.32,13,5.60,0.22,51,22.00,1.01,165,71.10,1.41,3,1.30,2.61
2018,soybean,141,Ogle,178,1.60,4.41,51,28.70,0.54,70,39.30,1.64,47,26.40,2.28,10,5.60,3.44
2018,soybean,143,Peoria,230,0.67,3.79,148,64.30,0.40,66,28.70,0.88,13,5.70,2.09,3,1.30,3.55
2018,soybean,145,Perry,253,3.33,9.40,166,65.60,2.37,43,17.00,3.82,24,9.50,3.79,20,7.90,9.65
2018,soybean,147,Piatt,328,1.11,3.15,45,13.70,0.32,227,69.20,0.87,42,12.80,1.96,14,4.30,4.94
2018,soybean,149,Pike,174,1.57,6.26,67,38.50,0.91,70,40.20,1.23,26,14.90,3.28,11,6.30,3.78
2018,soybean,151,Pope,63,3.37,8.89,29,46.00,1.11,4,6.30,5.55,13,20.60,4.53,17,27.00,5.84
2018,soybean,153,Pulaski,121,6.56,16.06,86,71.10,3.72,3,2.50,1.09,1,0.80,2.67,31,25.60,15.09
2018,soybean,155,Putnam,79,1.03,3.63,23,29.10,0.56,45,57.00,1.23,11,13.90,1.23,0,0.00,NA
2018,soybean,157,Randolph,258,3.22,9.68,216,83.70,2.93,17,6.60,3.00,17,6.60,5.55,8,3.10,6.60
2018,soybean,159,Richland,257,1.84,4.79,113,44.00,0.65,77,30.00,1.57,26,10.10,2.21,41,16.00,5.42
2018,soybean,161,Rock Island,165,2.12,8.86,118,71.50,1.54,39,23.60,2.62,6,3.60,4.11,2,1.20,20.14
2018,soybean,163,St Clair,143,1.06,3.99,40,28.00,0.48,77,53.80,0.89,20,14.00,1.88,6,4.20,4.34
2018,soybean,165,Saline,249,2.95,6.70,157,63.10,1.88,26,10.40,1.85,32,12.90,6.04,34,13.70,5.82
2018,soybean,167,Sangamon,235,2.28,4.42,37,15.70,0.65,85,36.20,1.04,52,22.10,2.49,61,26.00,4.81
2018,soybean,169,Schuyler,313,1.95,6.89,133,42.50,0.91,119,38.00,1.65,33,10.50,3.74,27,8.60,6.26
2018,soybean,171,Scott,192,1.05,5.23,116,60.40,0.56,51,26.60,1.70,24,12.50,1.90,1,0.50,5.25
2018,soybean,173,Shelby,409,2.33,4.67,22,5.40,0.63,158,38.60,1.56,199,48.70,2.84,30,7.30,4.28
2018,soybean,175,Stark,270,1.12,4.20,125,46.30,0.56,123,45.60,1.44,22,8.10,2.49,0,0.00,NA
