"name","scenario","year","season","ssn.tot","rainyd","intens"
"IL-n_1","rcp26",2024,"Winter",140.009339527111,53,2.64168565145492
"IL-n_1","rcp26",2024,"Spring",288.080615824088,69,4.1750813887549
"IL-n_1","rcp26",2024,"Summer",237.252374858014,76,3.12174177444755
"IL-n_1","rcp26",2024,"Fall",204.465114080929,56,3.65116275144516
"IL-n_1","rcp26",2025,"Winter",229.969303213526,58,3.9649879864401
"IL-n_1","rcp26",2025,"Spring",341.698208708549,73,4.68079737956916
"IL-n_1","rcp26",2025,"Summer",167.243527871207,66,2.53399284653344
"IL-n_1","rcp26",2025,"Fall",109.964363445411,48,2.29092423844607
"IL-n_1","rcp26",2026,"Winter",187.048253168701,65,2.87766543336463
"IL-n_1","rcp26",2026,"Spring",306.734254915966,69,4.44542398428936
"IL-n_1","rcp26",2026,"Summer",327.862351613119,66,4.96761138807757
"IL-n_1","rcp26",2026,"Fall",378.608505411074,62,6.1065887969528
"IL-n_1","rcp26",2027,"Winter",123.923456445686,63,1.96703899120136
"IL-n_1","rcp26",2027,"Spring",287.515943664126,81,3.54957955140897
"IL-n_1","rcp26",2027,"Summer",513.014185098815,82,6.25627054998555
"IL-n_1","rcp26",2027,"Fall",292.828610503115,62,4.72304210488895
"IL-n_1","rcp26",2028,"Winter",136.485847525764,81,1.68501046328104
"IL-n_1","rcp26",2028,"Spring",265.476774679497,68,3.90407021587496
"IL-n_1","rcp26",2028,"Summer",342.21701177652,75,4.5628934903536
"IL-n_1","rcp26",2028,"Fall",222.887558202812,49,4.54872567760841
"IL-n_1","rcp26",2029,"Winter",175.32110318006,49,3.57798169755225
"IL-n_1","rcp26",2029,"Spring",227.920183972456,64,3.56125287456962
"IL-n_1","rcp26",2029,"Summer",355.350447812816,80,4.4418805976602
"IL-n_1","rcp26",2029,"Fall",164.048421339365,53,3.0952532328182
"IL-n_1","rcp26",2030,"Winter",151.253511580056,54,2.80099095518623
"IL-n_1","rcp26",2030,"Spring",187.815692959819,63,2.98120147555268
"IL-n_1","rcp26",2030,"Summer",230.795889440807,73,3.1615875265864
"IL-n_1","rcp26",2030,"Fall",189.903420924325,56,3.39113251650581
"IL-n_1","rcp26",2031,"Winter",137.891483564628,51,2.70375457969859
"IL-n_1","rcp26",2031,"Spring",217.054908282123,67,3.23962549674811
"IL-n_1","rcp26",2031,"Summer",221.142193175852,76,2.90976569968227
"IL-n_1","rcp26",2031,"Fall",245.196254836046,62,3.9547783038072
"IL-n_1","rcp26",2032,"Winter",191.879839385627,67,2.86387819978548
"IL-n_1","rcp26",2032,"Spring",467.657003368717,70,6.68081433383881
"IL-n_1","rcp26",2032,"Summer",256.992645294871,76,3.38148217493251
"IL-n_1","rcp26",2032,"Fall",159.473864590866,50,3.18947729181731
"IL-n_1","rcp26",2033,"Winter",152.999246498453,49,3.12243360200925
"IL-n_1","rcp26",2033,"Spring",334.671005997807,71,4.71367614081418
"IL-n_1","rcp26",2033,"Summer",269.174268968403,70,3.84534669954862
"IL-n_1","rcp26",2033,"Fall",158.944263209589,51,3.11655418058017
"IL-n_1","rcp26",2034,"Winter",66.3428262863308,38,1.74586384964028
"IL-n_1","rcp26",2034,"Spring",158.24025935051,59,2.68203829407645
"IL-n_1","rcp26",2034,"Summer",182.66073290864,67,2.72627959565135
"IL-n_1","rcp26",2034,"Fall",126.720533544198,42,3.01715556057614
"IL-n_1","rcp26",2035,"Winter",44.8995414434466,40,1.12248853608617
"IL-n_1","rcp26",2035,"Spring",187.849993522745,65,2.88999990034992
"IL-n_1","rcp26",2035,"Summer",279.163205362624,67,4.16661500541229
"IL-n_1","rcp26",2035,"Fall",268.260417045793,50,5.36520834091585
"IL-n_1","rcp26",2036,"Winter",168.440586239681,78,2.15949469538053
"IL-n_1","rcp26",2036,"Spring",238.551486551529,66,3.61441646290195
"IL-n_1","rcp26",2036,"Summer",262.757505461399,72,3.64940979807499
"IL-n_1","rcp26",2036,"Fall",190.493598692046,60,3.1748933115341
"IL-n_1","rcp26",2037,"Winter",110.749222711544,60,1.84582037852573
"IL-n_1","rcp26",2037,"Spring",229.306413886137,75,3.05741885181516
"IL-n_1","rcp26",2037,"Summer",133.84920649603,69,1.93984357240623
"IL-n_1","rcp26",2037,"Fall",205.221419559442,52,3.94656576075851
"IL-n_1","rcp26",2038,"Winter",82.8199002454057,39,2.12358718577963
"IL-n_1","rcp26",2038,"Spring",260.702490104013,66,3.95003772884868
"IL-n_1","rcp26",2038,"Summer",188.213188682683,63,2.98751093147116
"IL-n_1","rcp26",2038,"Fall",346.172402147437,68,5.09077061981524
"IL-n_1","rcp26",2039,"Winter",164.929630704224,54,3.05425242044859
"IL-n_1","rcp26",2039,"Spring",292.914528023917,61,4.80187750858881
"IL-n_1","rcp26",2039,"Summer",427.428955577547,75,5.69905274103396
"IL-n_1","rcp26",2039,"Fall",288.877308228985,63,4.58535409887277
"IL-n_1","rcp26",2040,"Winter",235.686414607568,63,3.74105420012012
"IL-n_1","rcp26",2040,"Spring",299.954993044026,74,4.0534458519463
"IL-n_1","rcp26",2040,"Summer",289.273976786295,71,4.07428136318725
"IL-n_1","rcp26",2040,"Fall",189.356474103173,46,4.11644508919942
"IL-n_1","rcp26",2041,"Winter",177.195715787937,53,3.34331539222523
"IL-n_1","rcp26",2041,"Spring",296.480285135098,63,4.70603627198568
"IL-n_1","rcp26",2041,"Summer",345.518146204762,76,4.54629139743108
"IL-n_1","rcp26",2041,"Fall",337.874459636281,66,5.11930999448911
"IL-n_1","rcp26",2042,"Winter",174.271172951208,71,2.45452356269307
"IL-n_1","rcp26",2042,"Spring",289.744689399144,72,4.02423179721033
"IL-n_1","rcp26",2042,"Summer",266.493669166579,71,3.75343196009266
"IL-n_1","rcp26",2042,"Fall",246.887273414526,59,4.18453005787333
"IL-n_1","rcp26",2043,"Winter",204.526000164318,42,4.86966667057901
"IL-n_1","rcp26",2043,"Spring",362.228116559098,78,4.64395021229612
"IL-n_1","rcp26",2043,"Summer",230.116911768215,72,3.19606821900298
"IL-n_1","rcp26",2043,"Fall",305.999056962784,61,5.01637798299646
"IL-n_1","rcp26",2044,"Winter",77.0433991195168,50,1.54086798239034
"IL-n_1","rcp26",2044,"Spring",269.617291387171,73,3.69338755324891
"IL-n_1","rcp26",2044,"Summer",327.871197658475,80,4.09838997073093
"IL-n_1","rcp26",2044,"Fall",314.729325309862,51,6.17116324136984
"IL-n_1","rcp26",2045,"Winter",79.6851400524611,45,1.77078089005469
"IL-n_1","rcp26",2045,"Spring",274.99814246851,66,4.16663852225015
"IL-n_1","rcp26",2045,"Summer",130.168267058209,61,2.13390601734768
"IL-n_1","rcp26",2045,"Fall",266.857564475387,58,4.60099249095495
"IL-n_1","rcp26",2046,"Winter",80.67309874075,52,1.55140574501442
"IL-n_1","rcp26",2046,"Spring",376.661379362573,65,5.79479045173189
"IL-n_1","rcp26",2046,"Summer",277.137429035502,71,3.90334407092256
"IL-n_1","rcp26",2046,"Fall",177.711006025202,51,3.48452952990591
"IL-n_1","rcp26",2047,"Winter",50.2907255515456,40,1.25726813878864
"IL-n_1","rcp26",2047,"Spring",258.872453252668,67,3.86376795899505
"IL-n_1","rcp26",2047,"Summer",339.026471743971,71,4.77502072878833
"IL-n_1","rcp26",2047,"Fall",211.618688440649,49,4.31874874368671
"IL-n_1","rcp26",2048,"Winter",61.0370714700548,54,1.13031613833435
"IL-n_1","rcp26",2048,"Spring",303.455804062076,72,4.21466394530661
"IL-n_1","rcp26",2048,"Summer",319.60985715175,76,4.20539285725987
"IL-n_1","rcp26",2048,"Fall",227.365564804874,56,4.0600993715156
"IL-n_1","rcp26",2049,"Winter",169.60688287497,60,2.8267813812495
"IL-n_1","rcp26",2049,"Spring",228.099414261757,73,3.12464951043502
"IL-n_1","rcp26",2049,"Summer",127.311514149653,66,1.9289623356008
"IL-n_1","rcp26",2049,"Fall",235.007865070365,59,3.98318415373501
"IL-n_1","rcp26",2050,"Winter",134.057928463677,60,2.23429880772795
"IL-n_1","rcp26",2050,"Spring",240.903701920295,72,3.34588474889299
"IL-n_1","rcp26",2050,"Summer",327.605636057211,75,4.36807514742948
"IL-n_1","rcp26",2050,"Fall",232.396366240224,55,4.22538847709498
"IL-n_1","rcp26",2051,"Winter",109.397354431101,53,2.06410102700191
"IL-n_1","rcp26",2051,"Spring",294.627147091436,64,4.60354917330369
"IL-n_1","rcp26",2051,"Summer",114.239076771308,60,1.90398461285513
"IL-n_1","rcp26",2051,"Fall",133.634093901725,54,2.47470544262453
"IL-n_1","rcp26",2052,"Winter",217.708976930822,71,3.06632361874398
"IL-n_1","rcp26",2052,"Spring",204.266338964691,62,3.29461837039825
"IL-n_1","rcp26",2052,"Summer",301.088361097462,67,4.49385613578301
"IL-n_1","rcp26",2052,"Fall",228.615942748263,55,4.15665350451388
"IL-n_1","rcp26",2053,"Winter",188.804842869635,68,2.77654180690639
"IL-n_1","rcp26",2053,"Spring",390.076449462213,78,5.00098012131042
"IL-n_1","rcp26",2053,"Summer",477.012707454152,69,6.91322764426308
"IL-n_1","rcp26",2053,"Fall",179.98257975874,60,2.99970966264567
"IL-n_1","rcp26",2054,"Winter",251.551401547855,71,3.5429774865895
"IL-n_1","rcp26",2054,"Spring",246.142639958998,71,3.46679774590138
"IL-n_1","rcp26",2054,"Summer",238.867683729972,66,3.619207329242
"IL-n_1","rcp26",2054,"Fall",239.758364904206,59,4.0637011000713
"IL-n_1","rcp26",2055,"Winter",221.513370832428,52,4.25987251600824
"IL-n_1","rcp26",2055,"Spring",247.519130915869,66,3.75028986236165
"IL-n_1","rcp26",2055,"Summer",212.530228038086,65,3.26969581597055
"IL-n_1","rcp26",2055,"Fall",100.046194614261,47,2.12864243860129
"IL-n_1","rcp26",2056,"Winter",120.135246170103,57,2.1076358977211
"IL-n_1","rcp26",2056,"Spring",298.046251527965,66,4.51585229587826
"IL-n_1","rcp26",2056,"Summer",279.57956850552,65,4.30122413085415
"IL-n_1","rcp26",2056,"Fall",262.420874465722,56,4.68608704403076
"IL-n_1","rcp26",2057,"Winter",97.63913148141,52,1.87767560541173
"IL-n_1","rcp26",2057,"Spring",337.739248379483,68,4.96675365263946
"IL-n_1","rcp26",2057,"Summer",337.28219122265,63,5.3536855749627
"IL-n_1","rcp26",2057,"Fall",249.38355848752,44,5.66780814744363
"IL-n_1","rcp26",2058,"Winter",92.6634974256157,51,1.8169313220709
"IL-n_1","rcp26",2058,"Spring",227.57071642729,54,4.21427252643129
"IL-n_1","rcp26",2058,"Summer",210.7725276337,63,3.3455956767254
"IL-n_1","rcp26",2058,"Fall",231.746355457697,52,4.45666068187879
"IL-n_1","rcp26",2059,"Winter",139.316044543288,61,2.28386958267685
"IL-n_1","rcp26",2059,"Spring",195.708494015038,56,3.49479453598282
"IL-n_1","rcp26",2059,"Summer",221.154716172372,72,3.07159328017183
"IL-n_1","rcp26",2059,"Fall",226.861148116062,62,3.65905077606552
"IL-n_1","rcp26",2060,"Winter",189.392046215944,78,2.42810315661467
"IL-n_1","rcp26",2060,"Spring",276.248783145915,67,4.12311616635694
"IL-n_1","rcp26",2060,"Summer",241.901353744674,61,3.96559596302744
"IL-n_1","rcp26",2060,"Fall",126.088396245264,53,2.37902634425027
"IL-n_1","rcp26",2061,"Winter",138.991676781327,49,2.83656483227197
"IL-n_1","rcp26",2061,"Spring",183.040400675498,64,2.86000626055466
"IL-n_1","rcp26",2061,"Summer",248.583373034548,61,4.07513726286144
"IL-n_1","rcp26",2061,"Fall",266.472224608995,71,3.75312992407035
"IL-n_1","rcp26",2062,"Winter",98.6122311949731,34,2.90035974102862
"IL-n_1","rcp26",2062,"Spring",256.831658075447,67,3.83330832948429
"IL-n_1","rcp26",2062,"Summer",452.897185693844,70,6.46995979562634
"IL-n_1","rcp26",2062,"Fall",155.228752352647,54,2.87460652504901
"IL-n_1","rcp26",2063,"Winter",110.204231400072,50,2.20408462800144
"IL-n_1","rcp26",2063,"Spring",291.171844190918,85,3.42555110812845
"IL-n_1","rcp26",2063,"Summer",251.465865568724,76,3.30876138906215
"IL-n_1","rcp26",2063,"Fall",259.990034925286,56,4.64267919509439
"IL-n_1","rcp26",2064,"Winter",172.482570980675,60,2.87470951634459
"IL-n_1","rcp26",2064,"Spring",411.326486099977,74,5.55846602837807
"IL-n_1","rcp26",2064,"Summer",306.438266366604,72,4.2560870328695
"IL-n_1","rcp26",2064,"Fall",173.666170176817,63,2.75660587582249
"IL-n_1","rcp26",2065,"Winter",70.5287844967097,37,1.90618336477594
"IL-n_1","rcp26",2065,"Spring",297.836739121005,68,4.37995204589713
"IL-n_1","rcp26",2065,"Summer",274.738084983896,77,3.56802707771293
"IL-n_1","rcp26",2065,"Fall",316.861517120851,58,5.46312960553192
"IL-n_1","rcp26",2066,"Winter",186.447896382189,55,3.38996175240344
"IL-n_1","rcp26",2066,"Spring",326.661869613454,69,4.73422999439788
"IL-n_1","rcp26",2066,"Summer",392.516260708566,64,6.13306657357134
"IL-n_1","rcp26",2066,"Fall",292.386195688858,64,4.5685343076384
"IL-n_1","rcp26",2067,"Winter",227.698578569223,66,3.44997846317005
"IL-n_1","rcp26",2067,"Spring",191.265196295455,77,2.48396358825266
"IL-n_1","rcp26",2067,"Summer",452.005728815566,72,6.27785734466064
"IL-n_1","rcp26",2067,"Fall",234.901096377522,60,3.9150182729587
"IL-n_1","rcp26",2068,"Winter",159.116056036204,64,2.48618837556569
"IL-n_1","rcp26",2068,"Spring",354.967284759507,72,4.93010117721537
"IL-n_1","rcp26",2068,"Summer",385.757792780292,69,5.59069264898974
"IL-n_1","rcp26",2068,"Fall",153.678522368893,58,2.6496296960154
"IL-n_1","rcp26",2069,"Winter",104.482088962104,68,1.53650130826624
"IL-n_1","rcp26",2069,"Spring",341.86676698178,76,4.4982469339708
"IL-n_1","rcp26",2069,"Summer",223.55229853862,67,3.33660147072567
"IL-n_1","rcp26",2069,"Fall",255.062196295621,58,4.39762407406243
"IL-n_1","rcp26",2070,"Winter",175.70399405458,58,3.02937920783759
"IL-n_1","rcp26",2070,"Spring",259.653752165264,66,3.93414776007976
"IL-n_1","rcp26",2070,"Summer",168.458507227013,76,2.21655930561859
"IL-n_1","rcp26",2070,"Fall",280.771442051511,61,4.60281052543461
"IL-n_1","rcp26",2071,"Winter",116.993962761713,67,1.74617854868229
"IL-n_1","rcp26",2071,"Spring",216.504737757146,75,2.88672983676195
"IL-n_1","rcp26",2071,"Summer",188.87535774475,69,2.73732402528623
"IL-n_1","rcp26",2071,"Fall",107.372730780393,44,2.44028933591802
"IL-n_1","rcp26",2072,"Winter",216.972071185184,63,3.44400112992356
"IL-n_1","rcp26",2072,"Spring",336.15605519712,73,4.60487746845369
"IL-n_1","rcp26",2072,"Summer",124.811758536031,67,1.86286206770195
"IL-n_1","rcp26",2072,"Fall",182.646459310898,56,3.26154391626603
"IL-n_1","rcp26",2073,"Winter",127.471071598469,64,1.99173549372608
"IL-n_1","rcp26",2073,"Spring",190.969185280963,71,2.68970683494314
"IL-n_1","rcp26",2073,"Summer",243.891816066694,67,3.64017635920439
"IL-n_1","rcp26",2073,"Fall",246.696962887421,56,4.40530290870395
"IL-n_1","rcp26",2074,"Winter",104.603129384574,47,2.22559849754412
"IL-n_1","rcp26",2074,"Spring",304.261550778057,73,4.16796644901449
"IL-n_1","rcp26",2074,"Summer",180.1736711259,74,2.43477933953919
"IL-n_1","rcp26",2074,"Fall",264.363120065187,61,4.33382164041291
