"state","county","fips","year","crop_name","cdl_crop_id","eval.acres","ct.acres","cc.acres","nt.acres","rt.acres","NS","perc_ct","perc_cc","perc_nt","perc_rt","perc_eval"
"IL","Adams",17001,2015,"Corn",1,137084.747842391,32769.8844868702,3153.42293380785,49726.6096229539,54433.4718658915,"N",23.904836243742,2.30034557705384,36.2743561232104,39.7078980139167,88.44
"IL","Adams",17001,2015,"Soybeans",5,100327.005305111,7299.3320753877,4016.10382188775,55548.8455367701,37132.9961051775,"N",7.27554067141666,4.00301375454606,55.3677899263881,37.0119650160492,83.82
"IL","Adams",17001,2016,"Corn",1,140563.611984802,21357.1115118828,1269.29810135466,35094.2475173248,83222.3669780422,"N",15.1939120020564,0.903006178791065,24.966808281164,59.2061955458575,86.29
"IL","Adams",17001,2016,"Soybeans",5,106908.353789931,16734.017888125,2458.78799735476,25284.5577958413,63084.460653973,"N",15.6526756749116,2.29990258963873,23.6506848150745,59.0079805904883,84.18
"IL","Adams",17001,2017,"Corn",1,135723.800036407,33682.5933269172,9903.27076544541,58721.1247999563,42207.6470905554,"N",24.8170131678321,7.29663534530342,43.2651640936997,31.098191385176,90.48
"IL","Adams",17001,2017,"Soybeans",5,113532.032056199,14068.0610033561,12973.0395487179,47060.7373276473,49685.8693073954,"N",12.3912703301147,11.4267659212654,41.4515062183966,43.7637452686486,82.57
"IL","Adams",17001,2018,"Corn",1,125006.022515598,51725.3109228126,4406.43615096482,33347.9499502288,39897.0331928242,"N",41.3782551287546,3.52497908683959,26.6770746553973,31.9160888331168,85.04
"IL","Adams",17001,2018,"Soybeans",5,123867.866183558,18577.280545932,5759.04806093525,39080.6454217857,65118.2628853661,"N",14.9976592947864,4.64934792079247,31.5502693522408,52.5707472742513,90.48
"IL","Adams",17001,2019,"Corn",1,115058.5619368,17638.6094502418,4642.89909040702,62846.191443705,34326.1519307053,"N",15.3301146419077,4.035248670114,54.6210472178728,29.8336354573597,89.75
"IL","Adams",17001,2019,"Soybeans",5,110678.446068377,7027.50651003741,11542.8995574613,57146.7974124706,45690.5863602409,"N",6.34948064386071,10.4292208352204,51.6331765058983,41.2822803204278,85.14
"IL","Adams",17001,2020,"Corn",1,136148.453099266,11538.9520461809,9797.75885720256,78191.1627040121,45886.0430662794,"N",8.4752722366723,7.1963791245274,57.4308124140073,33.7029485254774,88.87
"IL","Adams",17001,2020,"Soybeans",5,114709.587991618,6394.19510237,6270.83651684716,41164.0735947979,66561.3007783263,"N",5.57424642030554,5.46670651219267,35.8854689616755,58.0259261180417,85.67
"IL","Adams",17001,2021,"Corn",1,126984.839988865,39704.6463720843,8738.98923637675,42567.7715489731,44612.16852968,"N",31.2672334552423,6.88191538229528,33.5219318721083,35.1318854546668,NA
"IL","Adams",17001,2021,"Soybeans",5,123046.155860378,14634.8033721918,9155.64812884571,47654.1561337336,60357.2809644218,"N",11.8937509830036,7.44082418896104,38.7286833956905,49.0525531190994,NA
"IL","Alexander",17003,2015,"Corn",1,7527.63342016106,2192.82035684685,139.437520862661,2085.86945092224,3007.29783450227,"S",29.1302755388417,1.85234207193471,27.7094982512792,39.9501100365475,NA
"IL","Alexander",17003,2015,"Soybeans",5,35118.1857469417,3968.83143977296,873.623135819887,13852.3143415111,15317.5609065286,"S",11.3013567055314,2.48766591222887,39.444846158425,43.61717606059,NA
"IL","Alexander",17003,2016,"Corn",1,7945.62537981347,1343.10774302606,477.116837792384,5122.14705867203,1440.20522922845,"S",16.9037385834769,6.00477388481641,64.4649956903993,18.1257630505386,93.48
"IL","Alexander",17003,2016,"Soybeans",5,36036.0990054921,5369.70698312888,1797.9542017023,18443.6860374241,12124.937844,"S",14.9009108402952,4.98931419138426,51.1811393198059,33.6466437228738,106.3
"IL","Alexander",17003,2017,"Corn",1,4374.55530182185,290.488584088593,414.810326352073,2876.59777035245,1177.27252782143,"S",6.64041403174431,9.48234272359796,65.7574901191545,26.9118218103481,89.28
"IL","Alexander",17003,2017,"Soybeans",5,36671.0229008548,1877.85918811568,1517.97632761855,24649.41518009,9508.07210516154,"S",5.12082576259935,4.13944364661605,67.2176918727714,25.9280253263399,109.14
"IL","Alexander",17003,2018,"Corn",1,6048.33391519732,285.809118529109,237.139114697288,4203.10760371544,1529.22077339338,"S",4.72541897547971,3.9207345034546,69.4919900694391,25.283339095267,90.27
"IL","Alexander",17003,2018,"Soybeans",5,36992.4405081081,1275.43877784717,1621.29815580227,22226.6614010649,13369.3776072293,"S",3.44783626148595,4.38278235643012,60.0843337064858,36.1408369482921,NA
"IL","Alexander",17003,2019,"Corn",1,2549.75172604578,19.3407134881435,281.253227673171,2049.86539360989,401.841480668274,"S",0.758533205040225,11.0306123062948,80.3947055970376,15.7600238706951,77.27
"IL","Alexander",17003,2019,"Soybeans",5,11991.8641384382,NA,1599.4601435305,9721.70214739885,1927.88477402752,"S",NA,13.3378774564637,81.0691485090907,16.0766062037675,NA
"IL","Alexander",17003,2020,"Corn",1,5852.04904268158,148.281570833784,115.035459728832,4420.47921673617,1283.28825511163,"S",2.5338401943029,1.96572959129063,75.5372893237165,21.9288704819806,89.21
"IL","Alexander",17003,2020,"Soybeans",5,31814.1433578517,421.693087892525,595.727885174357,22104.8621859452,9244.9179451438,"S",1.32548936851525,1.87252530572171,69.4812427834545,29.0591446739746,96.7
"IL","Alexander",17003,2021,"Corn",1,7889.18605441021,779.618469461777,1592.43453356115,5069.2811351894,2029.61585100225,"S",9.88211539295559,20.1850295148122,64.2560728093815,25.7265557816025,NA
