"county","crop_name","variable","value"
"Cook","Soybeans","perc_ct",7.57463993020519
"Crawford","Soybeans","perc_ct",8.65062051869296
"Cumberland","Soybeans","perc_ct",7.86849931383316
"DeKalb","Soybeans","perc_ct",11.261683036518
"DeWitt","Soybeans","perc_ct",18.3598722217135
"Douglas","Soybeans","perc_ct",49.9250167458926
"Edgar","Soybeans","perc_ct",30.3903356104658
"Edwards","Soybeans","perc_ct",5.96983982473228
"Effingham","Soybeans","perc_ct",5.99033389833176
"Fayette","Soybeans","perc_ct",4.2724341628856
"Ford","Soybeans","perc_ct",5.73418621952195
"Franklin","Soybeans","perc_ct",1.17018152613324
"Fulton","Soybeans","perc_ct",13.2631710049127
"Gallatin","Soybeans","perc_ct",31.3428012040827
"Greene","Soybeans","perc_ct",7.20977892957213
"Grundy","Soybeans","perc_ct",6.21239822347717
"Hamilton","Soybeans","perc_ct",11.0521974134059
"Hancock","Soybeans","perc_ct",17.8840346820552
"Hardin","Soybeans","perc_ct",11.4271219312323
"Henderson","Soybeans","perc_ct",18.8010122381757
"Henry","Soybeans","perc_ct",8.37796640736139
"Iroquois","Soybeans","perc_ct",10.2183281713422
"Jackson","Soybeans","perc_ct",4.51704956112666
"Jasper","Soybeans","perc_ct",5.85787382942712
"Jefferson","Soybeans","perc_ct",2.51400715728842
"Jersey","Soybeans","perc_ct",11.9848833460127
"Jo Daviess","Soybeans","perc_ct",16.9557106944825
"Johnson","Soybeans","perc_ct",1.78123647476435
"Kane","Soybeans","perc_ct",7.2511246564465
"Kankakee","Soybeans","perc_ct",13.3358252868631
"Kendall","Soybeans","perc_ct",7.06288694453169
"Knox","Soybeans","perc_ct",5.62261950078805
"LaSalle","Soybeans","perc_ct",19.4060482227513
"Lawrence","Soybeans","perc_ct",20.4156900297293
"Lee","Soybeans","perc_ct",23.8898099719948
"Livingston","Soybeans","perc_ct",11.1954304746475
"Logan","Soybeans","perc_ct",17.8377247062156
"Macon","Soybeans","perc_ct",27.3064609966364
"Macoupin","Soybeans","perc_ct",22.1633549325236
"Madison","Soybeans","perc_ct",13.4184423500601
"Marion","Soybeans","perc_ct",12.0172185417581
"Marshall","Soybeans","perc_ct",27.3007690566702
"Mason","Soybeans","perc_ct",16.0844210862503
"Massac","Soybeans","perc_ct",5.30816100404768
"McDonough","Soybeans","perc_ct",28.562604160211
"McHenry","Soybeans","perc_ct",19.4337147881826
"McLean","Soybeans","perc_ct",17.780474286818
"Menard","Soybeans","perc_ct",10.3299283820021
"Mercer","Soybeans","perc_ct",8.33232890049351
"Monroe","Soybeans","perc_ct",21.877413473115
"Montgomery","Soybeans","perc_ct",14.2856481322012
"Morgan","Soybeans","perc_ct",20.2151676774904
"Moultrie","Soybeans","perc_ct",42.4620313465927
"Ogle","Soybeans","perc_ct",8.98063779534577
"Peoria","Soybeans","perc_ct",14.3743902714283
"Perry","Soybeans","perc_ct",2.59969128466636
"Piatt","Soybeans","perc_ct",40.0356906760878
"Pike","Soybeans","perc_ct",21.3985076267637
"Pope","Soybeans","perc_ct",4.88687116510621
"Pulaski","Soybeans","perc_ct",3.97943531098477
"Putnam","Soybeans","perc_ct",8.75514408332691
"Randolph","Soybeans","perc_ct",9.57541969208529
"Richland","Soybeans","perc_ct",11.9378904728703
"Rock Island","Soybeans","perc_ct",12.4827460069785
"Saline","Soybeans","perc_ct",18.0416479154949
"Sangamon","Soybeans","perc_ct",34.8935528852089
"Schuyler","Soybeans","perc_ct",7.96117759182988
"Scott","Soybeans","perc_ct",15.0905727728489
"Shelby","Soybeans","perc_ct",25.8771369438061
"St. Clair","Soybeans","perc_ct",16.0115446832641
"Stark","Soybeans","perc_ct",16.1386160828114
"Stephenson","Soybeans","perc_ct",11.9548151035206
"Tazewell","Soybeans","perc_ct",32.6132552161623
"Union","Soybeans","perc_ct",10.274701278195
"Vermilion","Soybeans","perc_ct",17.7649984288141
"Wabash","Soybeans","perc_ct",17.1773029762269
"Warren","Soybeans","perc_ct",18.4878107676107
"Washington","Soybeans","perc_ct",12.7986949488911
"Wayne","Soybeans","perc_ct",10.4570150887686
"White","Soybeans","perc_ct",11.1758637470526
"Whiteside","Soybeans","perc_ct",29.6972975445604
"Will","Soybeans","perc_ct",3.55104768127037
"Williamson","Soybeans","perc_ct",0.823229704320588
"Winnebago","Soybeans","perc_ct",12.7072210273677
"Woodford","Soybeans","perc_ct",25.187862651441
"Adams","Corn","perc_cc",3.52497908683959
"Alexander","Corn","perc_cc",3.9207345034546
"Bond","Corn","perc_cc",13.6811821848701
"Boone","Corn","perc_cc",2.39572482962633
"Brown","Corn","perc_cc",4.46017883200602
"Bureau","Corn","perc_cc",1.66405689089987
"Calhoun","Corn","perc_cc",14.9962859148337
"Carroll","Corn","perc_cc",6.48094268918971
"Cass","Corn","perc_cc",4.7642380173133
"Champaign","Corn","perc_cc",2.32180011288078
"Christian","Corn","perc_cc",2.32430390641972
"Clark","Corn","perc_cc",10.0921233172986
"Clay","Corn","perc_cc",10.1973858185449
"Clinton","Corn","perc_cc",13.758638559213
"Coles","Corn","perc_cc",5.64614732691532
"Cook","Corn","perc_cc",0.611181959203168
"Crawford","Corn","perc_cc",10.6861345107711
"Cumberland","Corn","perc_cc",8.15544414661036
"DeKalb","Corn","perc_cc",1.00384349716015
"DeWitt","Corn","perc_cc",2.49176083491444
"Douglas","Corn","perc_cc",4.46062964481038
"Edgar","Corn","perc_cc",6.23531125787084
"Edwards","Corn","perc_cc",18.3112132786503
"Effingham","Corn","perc_cc",8.31169022922667
"Fayette","Corn","perc_cc",8.55425409529587
"Ford","Corn","perc_cc",0.50297570021801
"Franklin","Corn","perc_cc",8.86206882255043
"Fulton","Corn","perc_cc",1.30989761470944
"Gallatin","Corn","perc_cc",8.24884208849308
"Greene","Corn","perc_cc",10.9977284991367
"Grundy","Corn","perc_cc",0.196696294198454
"Hamilton","Corn","perc_cc",7.39739156327953
"Hancock","Corn","perc_cc",2.11647210941946
"Hardin","Corn","perc_cc",2.98252552994965
"Henderson","Corn","perc_cc",1.80016899557238
"Henry","Corn","perc_cc",0.734991170519854
"Iroquois","Corn","perc_cc",1.92838621239449
"Jackson","Corn","perc_cc",4.06837562449413
"Jasper","Corn","perc_cc",8.2396882502071
"Jefferson","Corn","perc_cc",10.6094403894837
"Jersey","Corn","perc_cc",7.54377115980923
"Jo Daviess","Corn","perc_cc",9.70368035581881
"Johnson","Corn","perc_cc",5.38199986414907
"Kane","Corn","perc_cc",0.890640127995594
"Kankakee","Corn","perc_cc",3.13947553534226
"Kendall","Corn","perc_cc",0.570267270522054
"Knox","Corn","perc_cc",0.413070419273435
"LaSalle","Corn","perc_cc",0.999030923663233
"Lawrence","Corn","perc_cc",8.2659746130547
"Lee","Corn","perc_cc",1.09684001175869
"Livingston","Corn","perc_cc",0.481589500326576
"Logan","Corn","perc_cc",3.52033918491834
"Macon","Corn","perc_cc",3.61546072279308
"Macoupin","Corn","perc_cc",6.92633226041264
"Madison","Corn","perc_cc",16.8567907694238
"Marion","Corn","perc_cc",7.56600346840418
"Marshall","Corn","perc_cc",2.87910544295728
"Mason","Corn","perc_cc",8.54009795445616
"Massac","Corn","perc_cc",11.2667012744473
"McDonough","Corn","perc_cc",0.63289523940332
"McHenry","Corn","perc_cc",2.3022444386994
"McLean","Corn","perc_cc",1.06217196533063
"Menard","Corn","perc_cc",6.35307685823004
"Mercer","Corn","perc_cc",3.93266052442483
"Monroe","Corn","perc_cc",20.6527482315297
"Montgomery","Corn","perc_cc",6.7967079223332
"Morgan","Corn","perc_cc",6.58552553656327
