"county","year","crop_name","eval.acres","ct.acres","cc.acres","nt.acres","rt.acres","perc_ct","perc_cc","perc_nt","perc_rt"
"Albany",2015,"Alfalfa",376.271130413411,NA,100.421172470253,NA,NA,NA,26.6885137746071,NA,NA
"Albany",2015,"Corn",1376.90596340028,NA,317.157686307518,NA,NA,NA,23.0340847333027,NA,NA
"Albany",2015,"Soybeans",104.750744044564,NA,62.0319640088926,NA,NA,NA,59.218638086716,NA,NA
"Albany",2016,"Alfalfa",244.318117168773,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2016,"Corn",1577.40750604459,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2016,"Soybeans",193.339090160481,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2017,"Alfalfa",251.697085164347,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2017,"Corn",1335.29682305923,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2017,"Soybeans",226.493082770857,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2018,"Alfalfa",13.8961667670176,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2018,"Corn",1840.11723723518,NA,255.884543937893,NA,NA,NA,13.9058826666047,NA,NA
"Albany",2018,"Soybeans",392.238269906035,NA,88.7621263430233,NA,NA,NA,22.6296445689217,NA,NA
"Albany",2018,"Winter Wheat",43.4658030437963,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2019,"Alfalfa",21.9434713739714,NA,11.2465046292594,NA,NA,NA,51.2521671598397,NA,NA
"Albany",2019,"Corn",1146.05400800188,NA,109.848918274766,NA,NA,NA,9.58496872815664,NA,NA
"Albany",2019,"Soybeans",223.389536700228,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2020,"Alfalfa",104.338401780922,NA,104.338401780922,NA,NA,NA,100,NA,NA
"Albany",2020,"Corn",1744.08844372487,NA,698.021420271663,NA,NA,NA,40.0221343581,NA,NA
"Albany",2020,"Soybeans",236.407502267777,NA,65.114046069041,NA,NA,NA,27.5431386248,NA,NA
"Albany",2020,"Winter Wheat",13.8920964291883,NA,NA,NA,NA,NA,NA,NA,NA
"Albany",2021,"Alfalfa",495.187719856394,NA,103.775421029291,NA,NA,NA,20.9567840372508,NA,NA
"Albany",2021,"Corn",1612.06208095914,NA,100.592402502153,NA,NA,NA,6.23998316754047,NA,NA
"Albany",2021,"Soybeans",41.9348549822958,NA,NA,NA,NA,NA,NA,NA,NA
"Allegany",2015,"Alfalfa",2541.39852102236,295.170381921707,40.3902302653592,1153.38801657749,190.113412433615,11.6144862555033,1.5892914838524,45.3839886596574,7.48066117379874
"Allegany",2015,"Corn",12077.5871466253,969.382809479001,398.139985934253,3990.60566617167,6562.87664877044,8.02629529980137,3.29651925588051,33.0414147935726,54.33930278536
"Allegany",2015,"Soybeans",757.487865570796,101.473440022339,NA,186.029621698189,469.984803850268,13.3960482582615,NA,24.5587593087064,62.0451924330321
"Allegany",2015,"Winter Wheat",635.154467369152,32.6030638285387,38.6792191427329,235.798270305027,205.613458101774,5.13309210648908,6.08973425046423,37.124555115186,32.3721974204853
"Allegany",2016,"Alfalfa",1793.39177978335,NA,31.4057725437153,55.7058611969992,10.410949459591,NA,1.75119418398969,3.1061735547672,0.58051729560446
"Allegany",2016,"Corn",13018.2118002166,355.00726515716,407.226960378967,505.364634522,1191.67217736512,2.72700483449849,3.12813285440779,3.88198196709007,9.15388530815955
"Allegany",2016,"Soybeans",1282.89795737702,NA,NA,39.4668590460997,186.328541407786,NA,NA,3.07638334125908,14.5240344593539
"Allegany",2016,"Winter Wheat",619.435151256225,18.5809059042394,NA,175.680008587976,129.657212312173,2.9996531302037,NA,28.3613237369068,20.9315231867655
"Allegany",2017,"Alfalfa",1593.20377025706,NA,NA,120.465436991191,297.627047022698,NA,NA,7.56120712492126,18.6810408422945
"Allegany",2017,"Corn",14501.1169693871,1831.77021137466,830.803389313495,3216.45106403369,7842.37112779941,12.6319249423452,5.72923721026029,22.180712498381,54.0811521233517
"Allegany",2017,"Soybeans",672.544728654494,253.003840095268,35.7988847701498,75.6129967359916,291.638228153409,37.6188867915793,5.32290020944328,11.2428205165275,43.3633951360924
"Allegany",2017,"Winter Wheat",758.954281089752,NA,12.0171658026665,137.898629616105,252.30641328385,NA,1.58338467837767,18.1695568563237,33.2439541577621
"Allegany",2018,"Alfalfa",1100.16469286855,10.4128658722868,99.5654994809388,726.887287153611,83.3304552700759,0.94648246210633,9.05005406248163,66.0707703006118,7.57436189419982
"Allegany",2018,"Corn",16076.0118291171,1027.26317944043,721.687347131502,5266.93826240765,8810.12850650858,6.39003746924244,4.48921881125001,32.7627170121143,54.8029486427196
"Allegany",2018,"Soybeans",1070.20679010057,NA,13.4119453854543,654.564952897633,325.013180947615,NA,1.25321064204741,61.1624742949091,30.3691944355046
"Allegany",2018,"Winter Wheat",613.816987676899,NA,NA,379.135702323076,180.128310420406,NA,NA,61.7668963118768,29.3456052922442
"Allegany",2019,"Alfalfa",321.047022873447,NA,38.8514728244904,179.942621059148,90.4522002578135,NA,12.101489830605,56.0486807971676,28.1741283405293
"Allegany",2019,"Corn",15921.3129955725,930.533765938242,232.60790100405,4059.22031018911,9307.00055933535,5.84457931451389,1.46098441170483,25.4955122816688,58.4562376351969
"Allegany",2019,"Soybeans",729.53430810709,NA,NA,139.063627605991,471.151974289161,NA,NA,19.0619722829509,64.582565761938
