Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2017,corn,13,illinois,calhoun,125,5.23,10.76,40,32,1.56,13,10.4,4.26,17,13.6,3.41,55,44,8.69
2017,soybean,13,illinois,calhoun,94,3.44,9.44,43,45.7,0.85,22,23.4,1.26,14,14.9,6.1,15,16,11.6
2015,corn,15,illinois,carroll,370,3.4,6.7,36,9.7,3.1,237,64.1,2.7,82,22.2,4.7,15,4.1,6.9
2015,soybean,15,illinois,carroll,114,2.1,6.2,48,42.1,1.5,52,45.6,2.1,14,12.3,3.8,0,0,0
2018,corn,15,illinois,carroll,369,3.47,6.87,38,10.3,3.64,236,64,2.68,77,20.9,5.7,18,4.9,4.03
2018,soybean,15,illinois,carroll,116,1.78,6.3,45,38.8,0.79,64,55.2,2.3,6,5.2,3.15,1,0.9,5.39
2017,corn,15,illinois,carroll,389,3.8,7.03,44,11.3,3.23,151,38.8,2.66,193,49.6,4.81,1,0.3,5.38
2017,soybean,15,illinois,carroll,104,2.27,6.6,53,51,1.4,33,31.7,2.52,18,17.3,4.37,0,0,NA
2015,corn,17,illinois,cass,307,1.4,7.1,56,18,0.8,226,74,1.5,25,8,2.3,0,0,0
2015,soybean,17,illinois,cass,214,1.1,5.9,108,50,0.8,96,45,1.3,10,5,1.9,0,0,0
2018,corn,17,illinois,cass,286,2.33,6.91,144,50.3,2.08,53,18.5,1.57,89,31.1,3.21,0,0,NA
2018,soybean,17,illinois,cass,218,1.21,6.53,116,53.2,0.93,101,46.3,1.53,1,0.5,2.23,0,0,NA
2017,corn,17,illinois,cass,308,1.96,7.06,150,48.7,1.87,107,34.7,1.27,39,12.7,3.63,12,3.9,3.67
2017,soybean,17,illinois,cass,207,1.74,6.25,112,54.1,1.6,82,39.6,1.8,13,6.3,2.61,0,0,NA
2015,corn,19,illinois,champaign,296,3.1,3.5,5,2,0.3,29,10,0.6,40,13,2.4,222,75,3.6
2015,soybean,19,illinois,champaign,275,0.6,1.8,70,25,0.1,113,41,0.5,69,25,0.9,23,8,2.2
2018,corn,19,illinois,champaign,359,3.24,3.33,1,0.3,0.19,2,0.6,0.61,20,5.6,1.98,336,93.6,3.34
2018,soybean,19,illinois,champaign,401,1.07,2.24,95,23.7,0.16,57,14.2,0.6,167,41.6,1.14,82,20.4,2.32
2017,corn,19,illinois,champaign,289,3.18,3.41,1,0.3,0.14,14,4.8,0.54,33,11.4,2,241,83.4,3.5
2017,soybean,19,illinois,champaign,288,0.72,1.91,63,21.9,0.12,118,41,0.46,68,23.6,0.89,39,13.5,2.17
2015,corn,21,illinois,christian,252,3.2,4,3,1,0.9,1,0,1.3,145,58,2.5,103,41,4.3
