"site_name","year","till","cc","decade","nfert","trans.yrtot.in","evap.yrtot.in","leach.yrtot.in","run.yrtot.in","sed.yrtot.lbac","et.yrtot.in","grtot.in"
"v_1",2022,"CT","BarC","2020s","Conventional N",9.3352011496063,6.09482556889764,8.7776122480315,7.30467188779528,3752.1027678567,15.4300267185039,31.5123108543307
"v_1",2022,"CT","BarC","2020s","Reduced N",9.31170131692913,6.11322997834646,8.78319516535433,7.30618345669291,3754.5037681372,15.4249312952756,31.5143099173228
"v_1",2023,"CT","BarC","2020s","Conventional N",8.0137474488189,6.47931870669291,2.6807614015748,5.50008503937008,2260.99604093552,14.4930661555118,22.6739125964567
"v_1",2023,"CT","BarC","2020s","Reduced N",7.98704307874016,6.49288801968504,2.66776608661417,5.50408067913386,2264.57778600371,14.4799310984252,22.6517778641732
"v_1",2024,"CT","BarC","2020s","Conventional N",5.85002734448819,4.89693967913386,7.45152255511811,3.47802985433071,1664.64256771852,10.746967023622,21.6765194330709
"v_1",2024,"CT","BarC","2020s","Reduced N",5.82656782874016,4.91465167322835,7.45771782086614,3.47940365944882,1666.27542098573,10.7412195019685,21.6783409822835
"v_1",2025,"CT","BarC","2020s","Conventional N",9.0927690511811,5.2603996476378,12.8542758208661,17.2125016850394,8045.52792891367,14.3531686988189,44.4199462047244
"v_1",2025,"CT","BarC","2020s","Reduced N",9.07604445275591,5.27225005511811,12.8600850669291,17.2154131437008,8050.75320802437,14.348294507874,44.4237927185039
"v_1",2026,"CT","BarC","2020s","Conventional N",4.57172101377953,6.46608951574803,6.96378988976378,3.2808403996063,1652.4155308278,11.0378105295276,21.2824408188976
"v_1",2026,"CT","BarC","2020s","Reduced N",4.54734295472441,6.48164117913386,6.97301145866142,3.28207565551181,1654.18229419824,11.0289841338583,21.2840712480315
"v_1",2027,"CT","BarC","2020s","Conventional N",3.18677067913386,5.14304982283465,0.0852850157480315,0.306388003937008,238.491479870198,8.3298205019685,8.72149352165354
"v_1",2027,"CT","BarC","2020s","Reduced N",3.14618812007874,5.17168338188976,0.0882702224409449,0.310285151574803,238.968961648241,8.3178715019685,8.71642687598425
"v_1",2028,"CT","BarC","2020s","Conventional N",10.5204057106299,8.30726488188976,2.78196637795276,3.94332141141732,2811.70933039305,18.8276705925197,25.5529583818898
"v_1",2028,"CT","BarC","2020s","Reduced N",10.4983245944882,8.32383572440945,2.79807021850394,3.94447282086614,2813.64813909249,18.8221603188976,25.5647033582677
"v_1",2029,"CT","BarC","2020s","Conventional N",6.17455251771654,5.62303746850394,5.41303451377953,4.73997742125984,1851.3758108164,11.7975899862205,21.9506019212598
"v_1",2029,"CT","BarC","2020s","Reduced N",6.1525541496063,5.63878801771654,5.42001412598425,4.74240275590551,1854.34688105123,11.7913421673228,21.9537590492126
"v_1",2030,"CT","BarC","2020s","Conventional N",4.48990575393701,3.87156464370079,0.551980592519685,2.44247181102362,2612.35962839128,8.3614703976378,11.3559228011811
"v_1",2030,"CT","BarC","2020s","Reduced N",4.46279315944882,3.88621145866142,0.566291938976378,2.44806662204724,2621.25362146222,8.34900461811024,11.3633631791339
"v_1",2031,"CT","BarC","2030s","Conventional N",11.3573803070866,4.87805997834646,3.5147562992126,9.80381327755905,3019.44717269711,16.2354402854331,29.5540098622047
"v_1",2031,"CT","BarC","2030s","Reduced N",11.3104847440945,4.91189722047244,3.52867112007874,9.80644390551181,3026.07064278077,16.2223819645669,29.5574969901575
"v_1",2032,"CT","BarC","2030s","Conventional N",5.73262856692913,5.07880133858268,12.3824590433071,9.70661205905512,3914.58197137054,10.8114299055118,32.900501007874
"v_1",2032,"CT","BarC","2030s","Reduced N",5.71980967913386,5.08920071456693,12.3849461318898,9.70848312598425,3918.83196682041,10.8090103937008,32.9024396515748
"v_1",2033,"CT","BarC","2030s","Conventional N",2.58910743307087,4.67721177952756,0.302253448818898,1.01496492913386,1749.60383660336,7.26631921259843,8.58353759055118
"v_1",2033,"CT","BarC","2030s","Reduced N",2.54780298425197,4.69694153937008,0.326139401574803,1.02047655511811,1760.58684144364,7.24474452362205,8.59136048031496
"v_1",2034,"CT","BarC","2030s","Conventional N",6.54188442125984,5.48778295866142,0.792847015748032,1.09093788779528,671.735798936089,12.0296673799213,13.9134522834646
"v_1",2034,"CT","BarC","2030s","Reduced N",6.5122882519685,5.50770633070866,0.803061419291339,1.09259975787402,673.371377868638,12.0199945826772,13.9156557598425
"v_1",2035,"CT","BarC","2030s","Conventional N",9.38953925787402,5.09330737795276,4.58593143897638,5.73032157480315,2638.62270980945,14.4828466358268,24.7990996496063
"v_1",2035,"CT","BarC","2030s","Reduced N",9.36911310236221,5.10388922834646,4.59668141929134,5.73316608267717,2642.77631798706,14.4730023307087,24.8028498326772
"v_1",2036,"CT","BarC","2030s","Conventional N",9.15806500393701,6.27892645669291,5.83936496653543,6.88922784448819,2367.49990007544,15.4369914606299,28.1655842716535
"v_1",2036,"CT","BarC","2030s","Reduced N",9.13109387007874,6.29774312992126,5.84897373031496,6.89403157086614,2374.05481192057,15.428837,28.1718423011811
"v_1",2037,"CT","BarC","2030s","Conventional N",7.29471132086614,5.71982794685039,1.21501106496063,2.11883323818898,1147.93648491817,13.0145392677165,16.3483835708661
"v_1",2037,"CT","BarC","2030s","Reduced N",7.26824461220472,5.73871192519685,1.22351846850394,2.12166075,1109.33192279115,13.0069565374016,16.3521357559055
"v_1",2038,"CT","BarC","2030s","Conventional N",10.8085239271654,6.75433088976378,7.10605276574803,8.547726,3429.96869930167,17.5628548169291,33.2166335826772
"v_1",2038,"CT","BarC","2030s","Reduced N",10.7867027598425,6.77177177952756,7.11161662007874,8.55138203149606,3435.99092792085,17.5584745393701,33.2214731909449
"v_1",2039,"CT","BarC","2030s","Conventional N",3.55420220472441,5.39084773622047,0.0520238799212598,0.861434663385827,425.330198780278,8.94504994094488,9.85850848425197
"v_1",2039,"CT","BarC","2030s","Reduced N",3.51987262007874,5.40789495275591,0.0733654547244094,0.874012145669291,433.920159520633,8.92776757283465,9.87514517322835
"v_1",2040,"CT","BarC","2030s","Conventional N",5.14295567716535,5.27112511811024,0.15289212992126,0.255534407480315,233.176186443521,10.4140807952756,10.8225073326772
"v_1",2040,"CT","BarC","2030s","Reduced N",5.1073392519685,5.29489612598425,0.165018070866142,0.256460663385827,234.582891791697,10.4022353779528,10.8237141122047
"v_1",2041,"CT","BarC","2040s","Conventional N",5.05517116535433,4.65533639173228,13.7568223425197,10.7325555767717,4684.93768419129,9.71050755708661,34.199885476378
"v_1",2041,"CT","BarC","2040s","Reduced N",5.02639087204724,4.67529853346457,13.7586609645669,10.7360542440945,4690.4192382073,9.70168940551181,34.1964046141732
"v_1",2042,"CT","BarC","2040s","Conventional N",4.30387576377953,6.75618737795276,0.514443952755905,0.932634116141732,942.393703780431,11.0600631417323,12.5071412106299
"v_1",2042,"CT","BarC","2040s","Reduced N",4.27063821456693,6.77746527362205,0.532704226377953,0.939584868110236,952.557193649152,11.048103488189,12.5203925826772
"v_1",2043,"CT","BarC","2040s","Conventional N",6.14070867913386,5.92392744291339,2.87028138582677,3.77567393503937,1899.18547501101,12.0646361220472,18.7105914429134
"v_1",2043,"CT","BarC","2040s","Reduced N",6.11359733661417,5.93953568700787,2.88713852755906,3.77971788779528,1903.34471572177,12.053133023622,18.7199894389764
"v_1",2044,"CT","BarC","2040s","Conventional N",9.06851540944882,5.06975110826772,9.18616164763779,8.1108828503937,3686.35330811844,14.1382665177165,31.435311015748
"v_1",2044,"CT","BarC","2040s","Reduced N",9.04381875984252,5.0864212519685,9.19562283267716,8.11536415354331,3692.90391607015,14.130240011811,31.4412269980315
"v_1",2045,"CT","BarC","2040s","Conventional N",7.41145651181102,5.08114325984252,1.23256759251969,5.67145106496063,4022.2302503128,12.4925997716535,19.3966184291339
"v_1",2045,"CT","BarC","2040s","Reduced N",7.3707498011811,5.10428554330709,1.2532846476378,5.68123979330709,4035.69419610516,12.4750353444882,19.4095597854331
"v_1",2046,"CT","BarC","2040s","Conventional N",5.41465592913386,7.00124151181102,13.3457999448819,9.47099028149606,3898.18654299932,12.4158974409449,35.2326876673228
"v_1",2046,"CT","BarC","2040s","Reduced N",5.38805733267716,7.02183749212598,13.3528723149606,9.47441213582677,3903.55956716964,12.4098948248031,35.2371792755906
"v_1",2047,"CT","BarC","2040s","Conventional N",5.09254627559055,6.263023,4.61330051377953,4.82704992913386,2384.40642506872,11.3555692755906,20.7959197185039
"v_1",2047,"CT","BarC","2040s","Reduced N",5.05243663582677,6.28535164566929,4.63293711417323,4.83297352952756,2390.371391296,11.3377882814961,20.8036989251969
"v_1",2048,"CT","BarC","2040s","Conventional N",4.52957403740158,4.56259688188976,0.717631592519685,0.811278864173228,386.401434506233,9.09217091929134,10.6210813759843
"v_1",2048,"CT","BarC","2040s","Reduced N",4.49703085826772,4.57907261614173,0.717839496062992,0.814860627952756,388.825903853305,9.07610347440945,10.6088035984252
"v_1",2049,"CT","BarC","2040s","Conventional N",7.78074818307087,6.53634306496063,12.2540082401575,12.0485704035433,4482.59962152682,14.3170912480315,38.6196698917323
"v_1",2049,"CT","BarC","2040s","Reduced N",7.75329198818898,6.55539924212598,12.2507716771654,12.0502673287402,4486.94023962801,14.308691230315,38.6097302362205
"v_1",2050,"CT","BarC","2040s","Conventional N",9.5864176515748,6.16975002952756,8.1739618011811,7.74379113582677,2660.82593160021,15.7561676811024,31.6739206181102
"v_1",2050,"CT","BarC","2040s","Reduced N",9.56461822244095,6.18545118503937,8.18118941535433,7.74729311023622,2666.51751521351,15.7500694074803,31.6785519330709
"v_1",2051,"CT","BarC","2050s","Conventional N",9.48482461614173,6.96333714370079,6.8406361515748,5.73517055708662,2512.40759730867,16.4481617598425,29.0239684685039
"v_1",2051,"CT","BarC","2050s","Reduced N",9.45632129133858,6.98211211811024,6.85148823228346,5.73868321456693,2518.47132611307,16.4384334094488,29.0286048562992
"v_1",2052,"CT","BarC","2050s","Conventional N",7.27271201771654,6.4006736003937,3.47041031299213,5.31419211220472,1218.9466467103,13.6733856181102,22.4579880433071
"v_1",2052,"CT","BarC","2050s","Reduced N",7.24128748425197,6.42682109251968,3.47684191732283,5.31775522047244,1224.10040343648,13.6681085767717,22.4627057145669
"v_1",2053,"CT","BarC","2050s","Conventional N",8.05717328740158,6.46510766141732,11.8704093661417,8.97712368110236,2710.65226539677,14.5222809488189,35.369813996063
"v_1",2053,"CT","BarC","2050s","Reduced N",8.03250662598425,6.48596366141732,11.8754881240157,8.98108574212598,2717.19300035616,14.5184702874016,35.3750441535433
"v_1",2054,"CT","BarC","2050s","Conventional N",9.67084979527559,5.01563788188976,1.40890673031496,2.82723901771654,1254.50176750482,14.6864876771654,18.9226334251968
"v_1",2054,"CT","BarC","2050s","Reduced N",9.64080771850394,5.02776218110236,1.43384999409449,2.84907376181102,1270.56000616856,14.6685698996063,18.9514936555118
"v_1",2055,"CT","BarC","2050s","Conventional N",9.27250193307087,4.79984746653543,1.63131186614173,2.90727588976378,818.327008376533,14.0723493996063,18.6109371555118
"v_1",2055,"CT","BarC","2050s","Reduced N",9.23247250787402,4.82298479527559,1.65044574212598,2.91423545866142,827.728500607042,14.0554573031496,18.620138503937
"v_1",2056,"CT","BarC","2050s","Conventional N",6.5791013996063,5.9901279507874,8.55456469094488,6.5329728011811,2353.70310228278,12.5692293503937,27.6567668425197
"v_1",2056,"CT","BarC","2050s","Reduced N",6.55391960629921,6.00767504527559,8.56372628346457,6.53772057874016,2358.29814177796,12.5615946515748,27.6630415137795
"v_1",2057,"CT","BarC","2050s","Conventional N",6.22983193307087,5.50899893700787,1.08104239173228,2.43292941338583,822.512226661727,11.7388308700787,15.2528026751969
"v_1",2057,"CT","BarC","2050s","Reduced N",6.19281423031496,5.52982893503937,1.09970436417323,2.44062491535433,829.837643695082,11.7226431653543,15.2629724448819
"v_1",2058,"CT","BarC","2050s","Conventional N",5.91186511417323,5.59883942519685,1.09527476771654,1.62975962598425,931.550842149891,11.5107045393701,14.2357389330709
"v_1",2058,"CT","BarC","2050s","Reduced N",5.8675735511811,5.62972640354331,1.10984194685039,1.63338178346457,936.081978731058,11.4972999547244,14.2405236850394
"v_1",2059,"CT","BarC","2050s","Conventional N",12.0168428307087,6.32447732874016,3.44715845866142,6.76126717519685,2496.90676922852,18.3413201594488,28.5497457933071
"v_1",2059,"CT","BarC","2050s","Reduced N",11.9795810295276,6.34628062598425,3.46434327362205,6.7666098976378,2504.84898638135,18.3258616555118,28.5568148267717
"v_1",2060,"CT","BarC","2050s","Conventional N",6.28372488385827,5.20829511811024,1.40030182283465,2.21373224212598,598.448581410321,11.4920200019685,15.1060540669291
"v_1",2060,"CT","BarC","2050s","Reduced N",6.25725268897638,5.22959818307087,1.40077398031496,2.21567654330709,601.229083916643,11.4868508720472,15.1033013956693
"v_1",2061,"CT","BarC","2060s","Conventional N",3.69093395472441,5.50867219488189,0.390815541338583,1.37051721653543,1201.62101532985,9.1996061496063,10.9609389074803
"v_1",2061,"CT","BarC","2060s","Reduced N",3.65036666141732,5.53734247440945,0.408671405511811,1.37254625,1204.65152238631,9.18770913582677,10.9689267913386
"v_1",2062,"CT","BarC","2060s","Conventional N",9.78564757874016,5.92539799015748,5.56101413385827,8.81766209251968,5592.725508045,15.7110455688976,30.0897217952756
"v_1",2062,"CT","BarC","2060s","Reduced N",9.75246942716535,5.94328130314961,5.55188788582677,8.82303518700787,5602.88599107674,15.695750730315,30.0706738031496
"v_1",2063,"CT","BarC","2060s","Conventional N",5.49004522047244,5.91812183858268,1.03937033464567,1.31150781102362,262.777910400862,11.4081670590551,13.7590452047244
"v_1",2063,"CT","BarC","2060s","Reduced N",5.45852150393701,5.94145568503937,1.04174626377953,1.3139928503937,265.097354711479,11.3999771889764,13.7557163031496
"v_1",2064,"CT","BarC","2060s","Conventional N",5.53547957677165,7.33972263779528,6.62909374606299,6.19553210433071,2950.76682849984,12.8752022145669,25.6998280649606
"v_1",2064,"CT","BarC","2060s","Reduced N",5.50431812795276,7.35994499409449,6.6484460492126,6.20113552559055,2959.9739195122,12.8642631220472,25.7138446968504
"v_1",2065,"CT","BarC","2060s","Conventional N",5.84293142519685,6.07771949015748,1.37590194488189,2.50537908661417,1036.55071251562,11.9206509153543,15.8019319468504
"v_1",2065,"CT","BarC","2060s","Reduced N",5.80672048031496,6.10378132874016,1.38224087401575,2.50789510629921,1040.91783823749,11.9105018090551,15.8006377893701
"v_1",2066,"CT","BarC","2060s","Conventional N",4.13490567913386,4.79433099212598,0.229488326771654,0.65078405511811,381.763855476615,8.92923667125984,9.80950905314961
"v_1",2066,"CT","BarC","2060s","Reduced N",4.09583837401575,4.82069802165354,0.207870893700787,0.655169877952756,386.031187747893,8.91653639566929,9.77957716732284
"v_1",2067,"CT","BarC","2060s","Conventional N",8.15245249212598,7.97460272637795,1.38175003149606,3.5807092519685,1799.40162989443,16.1270552185039,21.0895145019685
"v_1",2067,"CT","BarC","2060s","Reduced N",8.11705658464567,7.99667621850394,1.4135996496063,3.58153633070866,1802.75910036137,16.1137328031496,21.1088687834646
"v_1",2068,"CT","BarC","2060s","Conventional N",6.49398406496063,4.55745442322835,10.7398185255906,7.77540114566929,1612.09531165577,11.051438488189,29.5666581594488
"v_1",2068,"CT","BarC","2060s","Reduced N",6.47064844094488,4.5754938011811,10.7449016358268,7.77950092322835,1620.19151906382,11.046142242126,29.5705448011811
"v_1",2069,"CT","BarC","2060s","Conventional N",5.8578017007874,5.82365,1.08449554724409,3.20811443897638,1259.93243913345,11.6814517007874,15.9740616870079
"v_1",2069,"CT","BarC","2060s","Reduced N",5.81504898425197,5.85210847834646,1.10244310629921,3.21475472637795,1266.82057765137,11.6671574625984,15.9843552952756
"v_1",2070,"CT","BarC","2060s","Conventional N",10.7933855,6.0044529507874,3.02687437598425,8.07039939566929,2782.34033608197,16.7978384507874,27.8951122224409
"v_1",2070,"CT","BarC","2060s","Reduced N",10.7511798110236,6.03838569094488,3.03768312204724,8.07822306496063,2796.57958718846,16.7895655019685,27.9054716889764
"v_1",2071,"CT","BarC","2070s","Conventional N",8.43937446653543,5.48268562598425,16.5057906358268,17.5441109291339,3328.84578089971,13.9220600925197,47.9719616574803
"v_1",2071,"CT","BarC","2070s","Reduced N",8.4141977992126,5.50426244685039,16.5116579389764,17.551185519685,3345.13959830863,13.918460246063,47.9813037047244
"v_1",2072,"CT","BarC","2070s","Conventional N",8.66461034448819,5.54150906496063,8.41355119685039,5.3855393523622,1943.1023682923,14.2061194094488,28.0052099586614
"v_1",2072,"CT","BarC","2070s","Reduced N",8.64369035826772,5.55834291535433,8.41899124212598,5.38973008070866,1951.99868889167,14.202033273622,28.0107545964567
"v_1",2022,"CT","LegC","2020s","Conventional N",15.8753325905512,4.47756737992126,4.57381520275591,6.78627311811024,4354.60420940226,20.3528999704724,31.7129882913386
"v_1",2022,"CT","LegC","2020s","Reduced N",15.851832757874,4.49597178937008,4.57939812007874,6.78778468700787,4357.00520968276,20.3478045472441,31.7149873543307
"v_1",2023,"CT","LegC","2020s","Conventional N",13.1214725433071,4.81135681299213,1.65604768307087,3.86273238188976,1981.82437732726,17.9328293562992,23.4516094212598
"v_1",2023,"CT","LegC","2020s","Reduced N",13.0947681732283,4.82492612598425,1.64305236811024,3.86672802165354,1985.40612239545,17.9196942992126,23.4294746889764
"v_1",2024,"CT","LegC","2020s","Conventional N",11.7939032952756,3.34515873031496,1.79219685433071,2.14257762007874,1025.68515382493,15.1390620255906,19.0738365
"v_1",2024,"CT","LegC","2020s","Reduced N",11.7704437795276,3.36287072440945,1.79839212007874,2.14395142519685,1027.31800709215,15.133314503937,19.0756580492126
"v_1",2025,"CT","LegC","2020s","Conventional N",19.1598515059055,3.4700871476378,5.80413022440945,15.3269971161417,6843.57886358299,22.6299386535433,43.7610659940945
"v_1",2025,"CT","LegC","2020s","Reduced N",19.1431269074803,3.48193755511811,5.80993947047244,15.3299085748031,6848.80414269369,22.6250644625984,43.764912507874
"v_1",2026,"CT","LegC","2020s","Conventional N",10.2480080629921,4.87219063188976,3.06861516141732,2.7005374015748,1294.16263265877,15.1201986948819,20.889351257874
"v_1",2026,"CT","LegC","2020s","Reduced N",10.223630003937,4.88774229527559,3.07783673031496,2.70177265748031,1295.92939602921,15.1113722992126,20.8909816870079
"v_1",2027,"CT","LegC","2020s","Conventional N",4.16795730314961,4.09894281889764,0.0852850157480315,0.27390468503937,213.483844028116,8.26690012204724,8.62608982283465
"v_1",2027,"CT","LegC","2020s","Reduced N",4.12737474409449,4.12757637795276,0.0882702224409449,0.277801832677165,213.961325806159,8.25495112204725,8.62102317716536
"v_1",2028,"CT","LegC","2020s","Conventional N",12.7539167775591,7.62239471653543,1.68144440551181,3.36388701968504,2422.67198912143,20.3763114940945,25.4216429192913
"v_1",2028,"CT","LegC","2020s","Reduced N",12.7318356614173,7.63896555905512,1.69754824606299,3.36503842913386,2424.61079782086,20.3708012204724,25.4333878956693
"v_1",2029,"CT","LegC","2020s","Conventional N",11.1649058976378,4.31388520472441,2.04988100984252,3.77487099015748,1485.26371741121,15.4787911023622,21.3035431023622
"v_1",2029,"CT","LegC","2020s","Reduced N",11.1429075295276,4.32963575393701,2.05686062204724,3.77729632480315,1488.23478764604,15.4725432834646,21.306700230315
"v_1",2030,"CT","LegC","2020s","Conventional N",5.99897647834646,2.87076657874016,0.518878948818898,2.24189132086614,2068.16448063855,8.86974305708661,11.6305133267717
"v_1",2030,"CT","LegC","2020s","Reduced N",5.97186388385827,2.88541339370079,0.533190295275591,2.24748613188976,2077.05847370949,8.85727727755906,11.6379537047244
"v_1",2031,"CT","LegC","2030s","Conventional N",12.9200548425197,4.20690593503937,2.79520335629921,9.0310370492126,2862.98903287839,17.1269607775591,28.9532011830709
"v_1",2031,"CT","LegC","2030s","Reduced N",12.8731592795276,4.24074317716535,2.80911817716535,9.03366767716535,2869.61250296205,17.1139024566929,28.9566883110236
"v_1",2032,"CT","LegC","2030s","Conventional N",15.2396230984252,3.47885868700787,5.55570368700787,8.71496136614173,3573.45508846178,18.7184817854331,32.9891468385827
"v_1",2032,"CT","LegC","2030s","Reduced N",15.2268042106299,3.48925806299213,5.55819077559055,8.71683243307087,3577.70508391165,18.716062273622,32.9910854822835
"v_1",2033,"CT","LegC","2030s","Conventional N",3.61293577952756,3.48337948425197,0.29326238976378,0.891672696850394,1432.74901302195,7.09631526377953,8.2812503503937
"v_1",2033,"CT","LegC","2030s","Reduced N",3.57163133070866,3.50310924409449,0.317148342519685,0.897184322834646,1443.73201786223,7.07474057480315,8.28907324015748
"v_1",2034,"CT","LegC","2030s","Conventional N",7.15989549409449,5.21047122834646,0.498599503937008,0.712698529527559,771.840918276344,12.3703667224409,13.5816647559055
"v_1",2034,"CT","LegC","2030s","Reduced N",7.13029932480315,5.2303946003937,0.508813907480315,0.714360399606299,773.476497208893,12.3606939251969,13.5838682322835
"v_1",2035,"CT","LegC","2030s","Conventional N",12.5885544488189,4.34104927952756,2.3929984015748,5.45188249015748,2670.93025863687,16.9296037283465,24.7744846200787
"v_1",2035,"CT","LegC","2030s","Reduced N",12.5681282933071,4.35163112992126,2.40374838188976,5.4547269980315,2675.08386681448,16.9197594232283,24.7782348031496
"v_1",2036,"CT","LegC","2030s","Conventional N",14.6945673444882,4.82313346456693,2.68613910826772,5.5254511003937,2040.05850315155,19.5177008090551,27.7292910177165
"v_1",2036,"CT","LegC","2030s","Reduced N",14.6675962106299,4.84195013779528,2.69574787204724,5.53025482677165,2046.61341499668,19.5095463484252,27.7355490472441
"v_1",2037,"CT","LegC","2030s","Conventional N",8.78452573031496,4.50399343503937,0.984874535433071,1.53790649409449,1011.48304565767,13.2885191653543,15.8113001948819
