"site_name","crop","management","climate_scenario","year","NO3.yr"
"v_1","grape-a","ct-bc","rcp60",2047,36.898762
"v_1","grape-a","ct-bc","rcp60",2048,24.635958
"v_1","grape-a","ct-bc","rcp60",2049,85.143377
"v_1","grape-a","ct-bc","rcp60",2050,9.438108
"v_1","grape-a","ct-bc","rcp60",2051,24.633511
"v_1","grape-a","ct-bc","rcp60",2052,7.90679
"v_1","grape-a","ct-bc","rcp60",2053,7.942309
"v_1","grape-a","ct-bc","rcp60",2054,19.037355
"v_1","grape-a","ct-bc","rcp60",2055,12.924352
"v_1","grape-a","ct-bc","rcp60",2056,14.350289
"v_1","grape-a","ct-bc","rcp60",2057,10.971728
"v_1","grape-a","ct-bc","rcp60",2058,31.574086
"v_1","grape-a","ct-bc","rcp60",2059,41.910695
"v_1","grape-a","ct-bc","rcp60",2060,3.794513
"v_1","grape-a","ct-bc","rcp60",2061,18.391444
"v_1","grape-a","ct-bc","rcp60",2062,71.585449
"v_1","grape-a","ct-bc","rcp60",2063,7.328409
"v_1","grape-a","ct-bc","rcp60",2064,51.009583
"v_1","grape-a","ct-bc","rcp60",2065,27.220159
"v_1","grape-a","ct-bc","rcp60",2066,21.540971
"v_1","grape-a","ct-bc","rcp60",2067,64.782725
"v_1","grape-a","ct-bc","rcp60",2068,53.548641
"v_1","grape-a","ct-bc","rcp60",2069,36.350583
"v_1","grape-a","ct-bc","rcp60",2070,40.846593
"v_1","grape-a","ct-bc","rcp60",2071,20.479213
"v_1","grape-a","ct-bc","rcp60",2072,9.208128
"v_1","grape-a","ct-bc","rcp60",2073,15.575205
"v_1","grape-a","ct-lc","rcp26",2013,0.66228
"v_1","grape-a","ct-lc","rcp26",2014,2.822107
"v_1","grape-a","ct-lc","rcp26",2015,3.827661
"v_1","grape-a","ct-lc","rcp26",2016,4.780849
"v_1","grape-a","ct-lc","rcp26",2017,31.876588
"v_1","grape-a","ct-lc","rcp26",2018,41.319089
"v_1","grape-a","ct-lc","rcp26",2019,3.85156
"v_1","grape-a","ct-lc","rcp26",2020,44.675626
"v_1","grape-a","ct-lc","rcp26",2021,87.453137
"v_1","grape-a","ct-lc","rcp26",2022,51.501175
"v_1","grape-a","ct-lc","rcp26",2023,86.860543
"v_1","grape-a","ct-lc","rcp26",2024,123.673808
"v_1","grape-a","ct-lc","rcp26",2025,40.855732
"v_1","grape-a","ct-lc","rcp26",2026,80.412065
"v_1","grape-a","ct-lc","rcp26",2027,75.955691
"v_1","grape-a","ct-lc","rcp26",2028,84.53148
"v_1","grape-a","ct-lc","rcp26",2029,68.30296
"v_1","grape-a","ct-lc","rcp26",2030,91.716305
"v_1","grape-a","ct-lc","rcp26",2031,51.270446
"v_1","grape-a","ct-lc","rcp26",2032,260.853212
"v_1","grape-a","ct-lc","rcp26",2033,96.424654
"v_1","grape-a","ct-lc","rcp26",2034,42.729307
"v_1","grape-a","ct-lc","rcp26",2035,76.281788
"v_1","grape-a","ct-lc","rcp26",2036,154.361753
"v_1","grape-a","ct-lc","rcp26",2037,145.389996
"v_1","grape-a","ct-lc","rcp26",2038,120.935491
