"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_1","grape-c","cn","rcp26",2038,59.637633,247.409033,242.751303,178.94236,330.241342038424
"v_1","grape-c","cn","rcp26",2039,52.130672,216.542829,808.942115,739.003734,1403.59017622592
"v_1","grape-c","cn","rcp26",2040,58.208142,182.029588,458.721114,344.049715,625.812730771639
"v_1","grape-c","cn","rcp26",2041,57.241244,227.837077,366.637701,238.167359,433.85625955536
"v_1","grape-c","cn","rcp26",2042,57.614258,223.033991,290.550408,215.581366,421.620036532972
"v_1","grape-c","cn","rcp26",2043,59.565293,193.041765,299.093123,173.835671,382.502100141285
"v_1","grape-c","cn","rcp26",2044,58.089918,172.806781,6.183722,3.23306,12.7977971788171
"v_1","grape-c","cn","rcp26",2045,53.384714,164.960399,216.427501,170.203316,248.561623032694
"v_1","grape-c","cn","rcp26",2046,67.408937,179.496983,76.822009,55.169337,121.84895623833
"v_1","grape-c","cn","rcp26",2047,55.774298,150.381657,109.586061,102.811449,210.058039068445
"v_1","grape-c","cn","rcp26",2048,61.82541,173.219781,456.733847,362.842735,524.249268049473
"v_1","grape-c","cn","rcp26",2049,59.299479,143.917968,188.674774,104.861539,166.720925617355
"v_1","grape-c","cn","rcp26",2050,60.069902,190.481271,126.518413,72.14385,115.726558952805
"v_1","grape-c","cn","rcp26",2051,60.496872,188.76676,171.625721,106.631693,218.388812269028
"v_1","grape-c","cn","rcp26",2052,60.98896,211.814841,230.757253,145.202936,349.736078422336
"v_1","grape-c","cn","rcp26",2053,57.079534,203.686724,581.225786,376.589855,630.737001139692
"v_1","grape-c","cn","rcp26",2054,51.573986,169.846523,520.478832,388.71043,661.498532110149
"v_1","grape-c","cn","rcp26",2055,60.813239,119.968522,382.019299,228.730035,415.435331527555
"v_1","grape-c","cn","rcp26",2056,57.587284,172.640921,63.344624,41.710967,110.053762076337
"v_1","grape-c","cn","rcp26",2057,64.689466,186.224042,350.201239,249.869682,411.1875392842
"v_1","grape-c","cn","rcp26",2058,57.571788,209.831767,147.976716,73.641595,145.698414034865
"v_1","grape-c","cn","rcp26",2059,64.000055,153.28989,76.056853,79.941441,153.8945919021
"v_1","grape-c","cn","rcp26",2060,62.731621,189.874866,164.793904,79.462711,288.722474222713
"v_1","grape-c","cn","rcp26",2061,55.493096,243.935947,165.659486,106.728711,241.421700946917
"v_1","grape-c","cn","rcp26",2062,59.229868,145.826933,380.12651,299.51288,480.912337798519
"v_1","grape-c","cn","rcp26",2063,60.70854,212.35615,137.135572,73.265548,129.135171040017
"v_1","grape-c","cn","rcp26",2064,62.372827,190.322796,328.900314,192.564991,325.507779232612
"v_1","grape-c","cn","rcp26",2065,57.850422,240.48175,341.187231,231.089025,488.023688218962
"v_1","grape-c","cn","rcp26",2066,59.689191,196.394081,397.342143,260.182688,477.476647367476
