"site_name","crop","management","climate_scenario","year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_1","almond-c","cn","rcp26",2050,85.380776,189.239395,1.78638,0,0
"a_1","almond-c","cn","rcp26",2051,103.073276,307.278949,0,0.415165,0
"a_1","almond-c","cn","rcp26",2052,96.354134,228.65495,0,0,0
"a_1","almond-c","cn","rcp26",2053,113.735361,203.498504,37.10974,0,0
"a_1","almond-c","cn","rcp26",2054,81.537917,189.789116,238.532043,0,0
"a_1","almond-c","cn","rcp26",2055,104.572087,156.644216,59.371222,0,0
"a_1","almond-c","cn","rcp26",2056,98.654012,218.494143,0,0,0
"a_1","almond-c","cn","rcp26",2057,99.536166,246.235642,0,0,0
"a_1","almond-c","cn","rcp26",2058,100.666349,285.092047,8.45735,0,0
"a_1","almond-c","cn","rcp26",2059,84.049731,283.471524,0,0,0
"a_1","almond-c","cn","rcp26",2060,79.140945,299.90063,0,0,0
"a_1","almond-c","cn","rcp26",2061,83.930751,286.289584,0,0,0
"a_1","almond-c","cn","rcp26",2062,110.630335,157.429632,62.557436,0.001321,0.0037706420214232
"a_1","almond-c","cn","rcp26",2063,111.628617,302.721502,0,0,0
"a_1","almond-c","cn","rcp26",2064,108.001685,259.334187,4.534346,0,0
"a_1","almond-c","cn","rcp26",2065,115.71133,182.394152,18.726731,0,0
"a_1","almond-c","cn","rcp26",2066,107.166478,184.043035,12.261015,0,0
"a_1","almond-c","cn","rcp26",2067,107.806942,191.781908,15.176232,0,0
"a_1","almond-c","cn","rcp26",2068,100.891326,202.989111,1.211411,0,0
"a_1","almond-c","cn","rcp26",2069,109.935995,160.090716,24.045983,0,0
"a_1","almond-c","cn","rcp26",2070,103.363772,191.331612,0,0,0
"a_1","almond-c","cn","rcp26",2071,104.9908,230.073857,1.379572,0,0
"a_1","almond-c","cn","rcp26",2072,91.822904,166.376638,17.776576,0,0
"a_1","almond-c","cn","rcp60",2014,14.428558,159.031084,4.362162,75.340661,139.985473869625
"a_1","almond-c","cn","rcp60",2015,22.205077,223.464378,0,0,0
"a_1","almond-c","cn","rcp60",2016,20.900625,221.707644,153.28316,3.927958,16.2928167402583
"a_1","almond-c","cn","rcp60",2017,46.595014,241.655444,55.713589,0,0
"a_1","almond-c","cn","rcp60",2018,62.798056,189.130846,108.935196,0.316238,0.614998684227412
"a_1","almond-c","cn","rcp60",2019,73.988915,157.57839,39.248246,0.69544,4.97624240773832
"a_1","almond-c","cn","rcp60",2020,83.775971,284.028426,0,0,0
"a_1","almond-c","cn","rcp60",2021,69.944913,242.765147,0,0,0
"a_1","almond-c","cn","rcp60",2022,89.130327,169.776613,63.995039,0.626766,4.1487339915291
"a_1","almond-c","cn","rcp60",2023,100.708317,167.740494,9.076372,0,0
"a_1","almond-c","cn","rcp60",2024,100.348567,136.916714,1.660077,0,0
"a_1","almond-c","cn","rcp60",2025,94.178395,166.653198,32.128772,0,0
"a_1","almond-c","cn","rcp60",2026,111.749079,153.806801,4.224921,0,0
"a_1","almond-c","cn","rcp60",2027,98.105898,284.508453,0,0,0
"a_1","almond-c","cn","rcp60",2028,69.161215,267.173979,0,0,0
"a_1","almond-c","cn","rcp60",2029,100.033125,235.196854,0,0,0
"a_1","almond-c","cn","rcp60",2030,50.283958,231.270726,2.070658,0,0
"a_1","almond-c","cn","rcp60",2031,104.385747,226.42293,18.270609,0,0
"a_1","almond-c","cn","rcp60",2032,95.820491,152.703926,18.88375,0,0
"a_1","almond-c","cn","rcp60",2033,109.204812,265.262898,0,0,0
"a_1","almond-c","cn","rcp60",2034,76.880026,285.592035,0,0,0
"a_1","almond-c","cn","rcp60",2035,95.141792,188.354972,2.137337,0,0
"a_1","almond-c","cn","rcp60",2036,104.52224,277.645753,0,0,0
"a_1","almond-c","cn","rcp60",2037,72.839117,265.604413,0,0,0
"a_1","almond-c","cn","rcp60",2038,95.755947,227.407306,1.533736,0,0
