"site_name","region","crop","scenario.code","climate_scenario","year","dsoc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_dsoc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"v_1","v","grape",1,"rcp26",2022,0.192355362956465,5.31740579653983e-05,0,0.000586909407415887,0.000640083465381219,-0.438753954423239,-0.70530299750704,0,0.0221431969955908,0.24440584608821,0.266549043083801
"v_1","v","grape",1,"rcp26",2023,0.200344057124828,8.98368001376973e-05,0,0.000631988370719752,0.000721825170857453,-0.434006251402999,-0.73459487612437,0,0.0374106103430697,0.263178014378301,0.300588624721371
"v_1","v","grape",1,"rcp26",2024,0.192502555443981,9.31356041438847e-05,0,0.000713779438263371,0.000806915042407223,-0.369820224920684,-0.705842703294596,0,0.0387843265827841,0.297238151791128,0.336022478373912
"v_1","v","grape",1,"rcp26",2025,0.20465472205683,6.93547056117555e-05,0,0.000466272947455635,0.00053562765306737,-0.527349989157185,-0.75040064754171,0,0.0288812809797525,0.194169377404772,0.223050658384525
"v_1","v","grape",1,"rcp26",2026,0.208528824416934,5.61235582680634e-05,0,0.000580887371093016,0.000637010929361156,-0.499336138230494,-0.764605689528757,0,0.0233714531930578,0.241898098105205,0.265269551298263
"v_1","v","grape",1,"rcp26",2027,0.173627409354626,8.62780501346182e-05,0,0.000609601032815111,0.000695879082949719,-0.346849901900468,-0.636633834300295,0,0.0359286451632072,0.25385528723662,0.289783932399827
"v_1","v","grape",1,"rcp26",2028,0.142742751219206,7.33232487238647e-05,0,0.000731465888291085,0.000804789137015019,-0.188252897175328,-0.523390087803757,0,0.0305338957185897,0.304603294909839,0.335137190628429
"v_1","v","grape",1,"rcp26",2029,0.191752918029002,7.42745249167857e-05,0,0.000450211406101127,0.00052448593101796,-0.48468310578479,-0.703094032773009,0,0.0309300343046474,0.187480892683572,0.21841092698822
"v_1","v","grape",1,"rcp26",2030,0.17916083843448,6.95828024032609e-05,0,0.000683188140420957,0.000752770942824204,-0.343447745926505,-0.65692307425976,0,0.0289762670007902,0.284499061332464,0.313475328333255
"v_1","v","grape",1,"rcp26",2031,0.193845630362751,6.16233411339709e-05,0,0.000522523259330326,0.000584146600464219,-0.467511976993871,-0.710767311330087,0,0.0256617199150794,0.217593614421138,0.243255334336217
"v_1","v","grape",1,"rcp26",2032,0.168841519868933,0.000133596558043628,0,0.000836756862300825,0.000970353420344498,-0.215002684237825,-0.619085572852754,0,0.0556334238138922,0.348449464801037,0.404082888614929
"v_1","v","grape",1,"rcp26",2033,0.104713260522523,8.51969223123161e-05,0,0.000645124601758892,0.000730321524071309,-0.079821872963356,-0.383948621915918,0,0.0354784326486389,0.268648316303923,0.304126748952562
"v_1","v","grape",1,"rcp26",2034,0.161296376197363,6.78222246827732e-05,0,0.000568747675442737,0.000636569900125502,-0.326334151933277,-0.591420046056999,0,0.0282431121357593,0.236842781987963,0.265085894123723
"v_1","v","grape",1,"rcp26",2035,0.179230872085393,8.75631212032855e-05,0,0.000634896200729835,0.00072245932193319,-0.356327160965189,-0.657179864313109,0,0.0364637854725212,0.264388917875399,0.30085270334792
"v_1","v","grape",1,"rcp26",2036,0.129608400375106,9.93525054064955e-05,0,0.000735552141603301,0.000834904647009906,-0.127552651941956,-0.475230801375389,0,0.0413732218942866,0.306304927539147,0.347678149433434
"v_1","v","grape",1,"rcp26",2037,0.135109856381098,9.33640165853292e-05,-2.75083252912646e-08,0.000704135717637609,0.000797499734222975,-0.163302158671001,-0.495402806730693,-1.02697747754054e-06,0.0388794440494621,0.293222230987708,0.33210167503717
"v_1","v","grape",1,"rcp26",2038,0.136128770931551,0.000107442221453998,-6.42227731536577e-07,0.000746265304173012,0.000853707525627011,-0.143654597936278,-0.499138826749019,-2.39765019773655e-05,0.0447420107912108,0.310766194523508,0.355508205314718
"v_1","v","grape",1,"rcp26",2039,0.0693790194571848,0.000228804932550037,-2.96084329016451e-07,0.000762466613772529,0.000991271546322618,0.158393002108338,-0.254389738009678,-1.10538149499444e-05,0.0952809111976498,0.317512882735316,0.412793793932966
"v_1","v","grape",1,"rcp26",2040,0.118511502971537,0.000137546759785258,-9.91245209360469e-07,0.000670803839481377,0.000808350599266671,-0.0979588987840448,-0.434542177562301,-3.70064878161167e-05,0.0572784006820169,0.279341884584055,0.336620285266072
"v_1","v","grape",1,"rcp26",2041,0.140160656364019,0.000122713761967859,-3.85460137984399e-06,0.000718037483238122,0.000840751245206029,-0.163953471818269,-0.513922406668069,-0.000143905118180831,0.0511015165909072,0.299011323377074,0.350112839967981
"v_1","v","grape",1,"rcp26",2042,0.181792352911173,0.000117235482180359,-9.33904099279964e-06,0.000490479960652495,0.000607715442832775,-0.413850544510712,-0.666571960674299,-0.000348657530397837,0.0488202043651066,0.204249869328879,0.253070073693986
"v_1","v","grape",1,"rcp26",2043,0.115364291660789,8.39517406015686e-05,-8.30661291027052e-06,0.000741370052158477,0.000825321792760025,-0.0796249411769102,-0.423002402756226,-0.000310113548650096,0.0349599034076683,0.308727671720298,0.343687575127966
