"site_name","region","crop","scenario.code","climate_scenario","year","dsoc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_dsoc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"h_1","h","hops",1,"rcp26",2022,-0.0665426030138008,3.26942319806396e-05,-3.454e-06,0.000445650554942631,0.000478344786923336,0.443057031319406,0.243989544383936,-0.0001289493333333,0.013614812317652,0.185581623951151,0.199196436268803
"h_1","h","hops",1,"rcp26",2023,-0.0836881650070456,4.37819852757055e-05,-4.196e-06,0.000284668459544308,0.000328450444820017,0.443476103880656,0.306856605025834,-0.0001566506666666,0.0182320695826687,0.118544079938819,0.136776149521488
"h_1","h","hops",1,"rcp26",2024,-0.0811126969091783,4.75269417068341e-05,-3.868e-06,0.000410209347294743,0.000457736289001504,0.487883285586941,0.297413222000321,-0.0001444053333333,0.0197915764393459,0.170822892480608,0.190614468919954
"h_1","h","hops",1,"rcp26",2025,-0.07379610638421,4.55600637892758e-05,-3.5324e-06,0.000335244537071326,0.00038080460086071,0.429031763071963,0.27058572340877,-0.0001318762666666,0.0189725122779626,0.139605403651896,0.158577915929859
"h_1","h","hops",1,"rcp26",2026,-0.0621085230074196,5.66019249344987e-05,-3.916e-06,0.000337715217041681,0.000394317141976218,0.391789977816851,0.227731251027205,-0.0001461973333333,0.0235706587405804,0.140634265382399,0.164204924122979
"h_1","h","hops",1,"rcp26",2027,-0.0698157213329326,6.47137189623793e-05,-3.8304e-06,0.000338262288748828,0.00040297600771113,0.42365869983193,0.255990978220753,-0.0001430016,0.0269486415393335,0.140862081671843,0.167810723211177
"h_1","h","hops",1,"rcp26",2028,-0.0632801149918332,4.69488424328487e-05,-3.9486e-06,0.000303831828280404,0.000350780670713245,0.377954767493285,0.232027088303389,-0.0001474143999999,0.0195508393845362,0.12652425420536,0.146075093589896
"h_1","h","hops",1,"rcp26",2029,-0.0626441529331193,4.88029542910858e-05,-4.2828e-06,0.000345333127143198,0.000394136081434329,0.393664861561602,0.229695227421438,-0.0001598912,0.0203229445369306,0.143806580803233,0.164129525340164
"h_1","h","hops",1,"rcp26",2030,-0.0557566864040754,4.51469642632853e-05,-4.6002e-06,0.000336998001942832,0.00038214496620606,0.363405525037461,0.20444118348161,-0.0001717407999999,0.0188004858324966,0.140335596523354,0.159136082355851
"h_1","h","hops",1,"rcp26",2031,-0.0553753763594996,5.38455914118282e-05,-4.51819999999999e-06,0.000283993929486082,0.000337839520897953,0.343560396244503,0.203043046651499,-0.0001686794666666,0.0224228427093541,0.118263186350317,0.140686029059671
"h_1","h","hops",1,"rcp26",2032,-0.0621260747966815,4.86285553311066e-05,-4.20340000000001e-06,0.000346404745915026,0.000395033301246133,0.392141833959181,0.227795607587832,-0.0001569269333333,0.0202503198271679,0.144252833477513,0.164503153304681
"h_1","h","hops",1,"rcp26",2033,-0.0641020292988898,5.65618632452649e-05,-4.8622e-06,0.000349236895352643,0.000405798758597908,0.403845449293052,0.23504077409593,-0.0001815221333333,0.0235539759085638,0.145432221421892,0.168986197330456
"h_1","h","hops",1,"rcp26",2034,-0.0705660034899085,6.70474681453629e-05,-4.4822e-06,0.000334150181457885,0.000401197649603248,0.425644841414488,0.258742012796332,-0.0001673354666666,0.027920481377676,0.139149682707147,0.167070164084823
"h_1","h","hops",1,"rcp26",2035,-0.0545159585159709,6.51886348286966e-05,-4.22939999999999e-06,0.000333128558558286,0.000398317193386936,0.365604610109495,0.199891847891894,-0.0001578975999999,0.0271464100750928,0.138724249742508,0.165870659817601
"h_1","h","hops",1,"rcp26",2036,-0.0503239826471797,6.1054016752335e-05,-4.6644e-06,0.000322376151291522,0.000383430168043735,0.344018409227446,0.184521269706326,-0.0001741375999999,0.0254246369761509,0.134246640144969,0.159671277121121
"h_1","h","hops",1,"rcp26",2037,-0.0496083181099461,4.01917551751035e-05,-4.202e-06,0.000306455367048829,0.000346647122223932,0.326094057634048,0.181897166403136,-0.0001568746666666,0.0167369951907752,0.127616770706804,0.144353765897579
