"site_name","crop","scenario.code","climate_scenario","year","soc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_soc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"v_1","grape",1,"rcp26",2022,0.191991029526128,5.31097572491125e-05,0,0.000587067074176,0.000640176831425,-0.437379184890534,-0.703967108262468,0,0.022116420340166,0.244471503031768,0.266587923371934
"v_1","grape",1,"rcp26",2023,0.19988811197436,8.98953796930213e-05,0,0.000632453993168,0.000722349372861,-0.432116159826255,-0.732923077239319,0,0.037435004543599,0.263371912869465,0.300806917413064
"v_1","grape",1,"rcp26",2024,0.192159156598315,9.32784363949063e-05,0,0.000714412038081,0.000807690474476,-0.368238183751377,-0.70458357419382,0,0.038843806013027,0.297501584429416,0.336345390442443
"v_1","grape",1,"rcp26",2025,0.204296649770253,6.94518174630624e-05,0,0.000466383053039,0.000535834870502,-0.525950766179616,-0.749087715824261,0,0.028921721129266,0.194215228515379,0.223136949644645
"v_1","grape",1,"rcp26",2026,0.20772099261768,5.58182766013801e-05,0,0.000581962489567,0.000637780766168,-0.496053506258135,-0.761643639598162,0,0.023244325184718,0.24234580815531,0.265590133340027
"v_1","grape",1,"rcp26",2027,0.172683548440448,8.60242964389362e-05,0,0.00061043683005,0.000696461126489,-0.343146698988821,-0.633173010948309,0,0.035822974874219,0.254203337085269,0.290026311959488
"v_1","grape",1,"rcp26",2028,0.141967564146643,7.35738229697377e-05,0,0.000732341955388,0.000805915778358,-0.18494137893116,-0.520547735204358,0,0.030638241993831,0.304968114279367,0.335606356273198
"v_1","grape",1,"rcp26",2029,0.191316897523525,7.42127278264305e-05,0,0.000450538421922,0.000524751149749,-0.48297391927429,-0.701495290919592,0,0.030904300230582,0.18761707141472,0.218521371645302
"v_1","grape",1,"rcp26",2030,0.178385467840787,6.98075802451514e-05,0,0.000684125439115,0.00075393301936,-0.340120798544434,-0.654080048749552,0,0.029069870916378,0.28488937928874,0.313959250205118
"v_1","grape",1,"rcp26",2031,0.192655799592273,6.16721540643174e-05,0,0.000523195172612,0.000584867326676,-0.462849133182025,-0.706404598505002,0,0.025682047013931,0.217873418309046,0.243555465322976
"v_1","grape",1,"rcp26",2032,0.168291091002918,0.000134000311876,0,0.000837953277665,0.000971953589541,-0.212318088889899,-0.617067333677365,0,0.055801558445441,0.348947686342025,0.404749244787466
"v_1","grape",1,"rcp26",2033,0.103961500284679,8.53258449415725e-05,0,0.00064548351608,0.000730809361021,-0.076862269513751,-0.381192167710491,0,0.035532119714965,0.268797778481775,0.30432989819674
"v_1","grape",1,"rcp26",2034,0.160528506691417,6.77170505955298e-05,0,0.000569563437345,0.000637280487941,-0.323222721342654,-0.588604524535195,0,0.028199314640853,0.237182488551689,0.265381803192542
"v_1","grape",1,"rcp26",2035,0.17815494703732,8.7504863173884e-05,0,0.000635966352753,0.000723471215926,-0.351960720885532,-0.653234805803505,0,0.036439525164563,0.26483455975341,0.301274084917973
"v_1","grape",1,"rcp26",2036,0.128259136410797,9.92936374521088e-05,0,0.000736757164293,0.000836050801745,-0.12212805916045,-0.470283500172921,0,0.041348707596134,0.306806733416337,0.348155441012471
"v_1","grape",1,"rcp26",2037,0.13413292330261,9.31799139670622e-05,-1.82137034351718e-08,0.000705239115503,0.00079841902947,-0.159336902910844,-0.491820718776237,-6.79978261579746e-07,0.038802778459146,0.293681717384508,0.332484495843654
"v_1","grape",1,"rcp26",2038,0.135587557594526,0.00010756841978,-5.6809077318866e-07,0.0007473699472,0.000854938366979,-0.141154823748066,-0.497154377846593,-2.12087221990396e-05,0.044794563379643,0.311226199441084,0.356020762820727
"v_1","grape",1,"rcp26",2039,0.068156639832428,0.000228569818117,-2.64455422696135e-07,0.000763129257206,0.000991699075323,0.163054276835957,-0.24990767938557,-9.87300244732237e-06,0.095183002830184,0.317788826393791,0.412971829223975
"v_1","grape",1,"rcp26",2040,0.117435017094629,0.000137610392309,-8.45960742537128e-07,0.000671615022894,0.000809225415202,-0.093642061598215,-0.430595062680305,-3.15825343880453e-05,0.057304899082927,0.279679684533551,0.336984583616478
"v_1","grape",1,"rcp26",2041,0.139635089903253,0.000122515225067,-3.51657196324816e-06,0.000718353694904,0.00084086891997,-0.16196477189655,-0.511995329645261,-0.000131285353295,0.051018840152767,0.299143002949239,0.350161843102006
"v_1","grape",1,"rcp26",2042,0.180871993215037,0.000117044225453,-8.84635156432822e-06,0.000490764396629,0.000607808622081,-0.410418696051656,-0.663197308455135,-0.000330263791735,0.048740559599158,0.204368316596056,0.253108876195213
"v_1","grape",1,"rcp26",2043,0.114031129037882,8.35823718169796e-05,-7.81642315503275e-06,0.000742908389369,0.000826490761186,-0.074231585957012,-0.418114139805568,-0.000291813131121,0.034806087692361,0.309368279287316,0.344174366979677
