"site_name","region","crop","scenario.code","climate_scenario","year","dsoc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_dsoc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"f_1","f","alfalfa",1,"rcp26",2022,0.840480055762335,0.000186062691559539,-0.000256078109005417,0.000489206110869335,0.000675268802428891,-2.810119231139,-3.0817602044619,-0.0095602494028701,0.0774818208423099,0.203719401883458,0.281201222725768
"f_1","f","alfalfa",1,"rcp26",2023,0.340763132020481,0.000234134868968404,-0.000327746113330634,0.00186419296753571,0.00209832783650414,-0.387897008961858,-1.24946481740843,-0.0122358548976781,0.0975004490061468,0.776303214338102,0.873803663344249
"f_1","f","alfalfa",1,"rcp26",2024,0.0183844699413172,8.7636904345213e-05,-0.000299387284039137,0.000385582954894857,0.000473219859240087,0.118475421566029,-0.0674097231181631,-0.0111771252707968,0.0364945108809011,0.160567759074088,0.197062269954989
"f_1","f","alfalfa",1,"rcp26",2025,0.115230534852392,8.48872687884273e-05,-0.000305574978798894,0.000362023912779852,0.000446911181568297,-0.24781350877131,-0.422511961125436,-0.011408132541827,0.0353494840740429,0.150757100821911,0.186106584895954
"f_1","f","alfalfa",1,"rcp26",2026,0.501309321128809,7.50857600130007e-05,-0.000303144368968399,0.000521367871513591,0.000596453631526533,-1.60107123354711,-1.8381341774723,-0.011317389774822,0.0312678557768424,0.217112477923164,0.248380333700006
"f_1","f","alfalfa",1,"rcp26",2027,0.813780935963796,0.000102063799664974,-0.000283985544227161,0.0005189653675112,0.000621029167176161,-2.73585126994907,-2.98386343186725,-0.0106021269844825,0.0425022822890608,0.216112006613603,0.258614288902664
"f_1","f","alfalfa",1,"rcp26",2028,0.253960174968774,0.000174975425321235,-0.000302864934896708,0.00197142993339849,0.00214640535871977,-0.0486697485499953,-0.931187308218838,-0.0113069575694784,0.0728647664016415,0.82095975083668,0.893824517238321
"f_1","f","alfalfa",1,"rcp26",2029,-0.00845660142922048,0.000110451086829337,-0.000342822404670189,0.000406237755668376,0.0005166888424977,0.23337283202054,0.0310075385738083,-0.0127987031076887,0.0459949883010757,0.169169008253344,0.21516399655442
"f_1","f","alfalfa",1,"rcp26",2030,0.0870946829540965,0.000110285232111571,-0.000350103813440611,0.000441917771103402,0.000552203003215004,-0.102464605432735,-0.319347170831687,-0.0130705423684517,0.0459259216579043,0.1840271861095,0.229953107767404
"f_1","f","alfalfa",1,"rcp26",2031,0.497972209238712,0.00013465787541872,-0.000342392151807528,0.000581055045552237,0.000715712920971046,-1.54063743164314,-1.82589810054195,-0.01278264033415,0.0560753866922453,0.241967922540709,0.298043309232954
"f_1","f","alfalfa",1,"rcp26",2032,0.812926379156834,0.000149093095429743,-0.00032927116978345,0.000677744035435145,0.000826837130864886,-2.64870424203679,-2.98073005690839,-0.0122927903385835,0.0620866247396834,0.282231980470504,0.344318605210187
"f_1","f","alfalfa",1,"rcp26",2033,0.165158145943195,0.000285995282164086,-0.000346587933221618,0.0016437399756653,0.00192973525782943,0.185077745354614,-0.605579868458382,-0.0129392828402753,0.119096606786911,0.68450028986636,0.803596896653271
"f_1","f","alfalfa",1,"rcp26",2034,-0.100562304333288,0.000131505052252591,-0.000366206720786012,0.000675570454098684,0.00080707550635125,0.691146031790913,0.368728449222055,-0.0136717175760121,0.0547624610451951,0.281326839099675,0.33608930014487
"f_1","f","alfalfa",1,"rcp26",2035,0.0367306133907689,0.000144513324266191,-0.000348724316015767,0.000389389923397284,0.000533903247663503,0.0746346098082012,-0.134678915766153,-0.0130190411312565,0.0601794771765731,0.162153089529037,0.22233256670561
"f_1","f","alfalfa",1,"rcp26",2036,0.474775629554499,0.000101417858792917,-0.000321720141657034,0.000510332911416926,0.00061175077020986,-1.49810436101285,-1.74084397503316,-0.012010885288531,0.0422332940544884,0.212517205254353,0.254750499308841
"f_1","f","alfalfa",1,"rcp26",2037,0.783898101529079,0.000133085487499336,-0.000303828365543208,0.000495929339694775,0.000629014827194193,-2.62369621869103,-2.87429303893996,-0.011342925646949,0.0554205994372397,0.206519146458635,0.261939745895874
"f_1","f","alfalfa",1,"rcp26",2038,0.164782997604581,0.000198004737936874,-0.000342667217035803,0.00164110720480495,0.00183911194274182,0.148861525027092,-0.604204324550131,-0.0127929094360051,0.0824548301551506,0.683403928858078,0.765858759013228
"f_1","f","alfalfa",1,"rcp26",2039,-0.0372000999457976,0.000209424033701652,-0.000372313703560157,0.000637150035477885,0.000846574069179553,0.475038285105282,0.136400366467925,-0.0138997115995799,0.0872101511772017,0.265327479059735,0.352537630236937
"f_1","f","alfalfa",1,"rcp26",2040,0.0890104314821245,0.000195903330091471,-0.000387395744112178,0.000526098286406699,0.000722001616498204,-0.0401722548205038,-0.326371582101123,-0.0144627744468556,0.0815797438881051,0.21908235783937,0.300662101727475
"f_1","f","alfalfa",1,"rcp26",2041,0.415459257137858,0.00019426091449567,-0.000366022297089839,0.000685601585726512,0.00087986250022223,-1.17061555790903,-1.52335060950548,-0.0136648324246878,0.0808957951078625,0.285504088913275,0.366399884021138
"f_1","f","alfalfa",1,"rcp26",2042,0.754572833554177,0.000158911941447039,-0.000315566250937503,0.000622834044673765,0.00078174598612083,-2.45300683217998,-2.76676705636532,-0.0117811400350017,0.0661754727597451,0.259365891460593,0.325541364220338
"f_1","f","alfalfa",1,"rcp26",2043,0.167020765129482,0.000588959681909057,-0.000404666332441588,0.00200974631654522,0.00259870599845432,0.454658411279959,-0.612409472141436,-0.0151075430778205,0.24525963896643,0.836915787532783,1.08217542649921
