"site_name","region","crop","scenario.code","climate_scenario","year","dsoc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_dsoc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"a_1","a","almond",1,"rcp26",2022,0.141676425960638,3.74990511413071e-05,0,0.000506300762791401,0.000543799813932708,-0.293026448863219,-0.519480228522339,0,0.0156156762967014,0.210838103362419,0.226453779659121
"a_1","a","almond",1,"rcp26",2023,0.202160924781113,5.39413804155208e-05,0,0.000755195948582956,0.000809137328998422,-0.40430882219303,-0.741256724197415,0,0.0224627319873203,0.314485170017064,0.336947902004384
"a_1","a","almond",1,"rcp26",2024,0.141282712669115,3.39185047754887e-05,0,0.000813679721142296,0.000847598225917785,-0.16507249475571,-0.518036613120087,0,0.0141246344886499,0.338839483875726,0.352964118364377
"a_1","a","almond",1,"rcp26",2025,0.214032697617647,5.53521585060504e-05,0,0.000528097715022129,0.000583449873528266,-0.54182136059781,-0.784786557931373,0,0.0230502202921623,0.2199149770414,0.242965197333562
"a_1","a","almond",1,"rcp26",2026,0.132506422961241,3.78893267544877e-05,0,0.000680129960697651,0.000718019287452159,-0.186853138059353,-0.485856884191218,0,0.0157781982127616,0.283225547919102,0.299003746131864
"a_1","a","almond",1,"rcp26",2027,0.225066127830461,2.86279878551428e-05,0,0.000606814934928579,0.000635442922783621,-0.560625880152469,-0.825242468711691,0,0.0119215120853915,0.25269507647383,0.264616588559221
"a_1","a","almond",1,"rcp26",2028,0.103555353315132,3.43718093458673e-05,0,0.000753529571072416,0.00078790138041822,-0.0515983158812846,-0.379702962155485,0,0.0143134034633147,0.313791242810886,0.3281046462742
"a_1","a","almond",1,"rcp26",2029,0.14923715879335,2.17660994094205e-05,0,0.000756704898247972,0.000778470997657461,-0.223025350122531,-0.547202915575616,0,0.00906402568263714,0.315113539770447,0.324177565453084
"a_1","a","almond",1,"rcp26",2030,0.139401117515989,5.77138607941397e-05,0,0.000709385437570919,0.000767099298365104,-0.191695365929911,-0.511137430891959,0,0.024033700602131,0.295408364359917,0.319442064962049
"a_1","a","almond",1,"rcp26",2031,0.176612139688285,2.82449199471724e-05,0,0.000752264585515364,0.000780509505462616,-0.322551387177486,-0.647577845523713,0,0.0117619916637152,0.313264466682512,0.325026458346226
"a_1","a","almond",1,"rcp26",2032,0.0904168537674556,7.63429011728086e-05,0,0.00103786860479651,0.00111421150596924,0.132461041886092,-0.331528463814004,0,0.0317913652741053,0.432198140425991,0.463989505700096
"a_1","a","almond",1,"rcp26",2033,0.120920633877236,8.27081663508225e-05,0,0.000580765411684535,0.000663473578035371,-0.16708630326798,-0.443375657549865,0,0.0344420435589684,0.241847310722917,0.276289354281885
"a_1","a","almond",1,"rcp26",2034,0.0995537009500189,5.49575873700187e-05,0,0.000573682774718705,0.000628640362088799,-0.103246428889748,-0.365030236816737,0,0.0228859095976576,0.238897898329331,0.261783807926989
"a_1","a","almond",1,"rcp26",2035,0.163667258088808,5.14922166152308e-05,0,0.000935541006234078,0.000987033222849374,-0.189084444715243,-0.600113279658961,0,0.021442830204771,0.389586004738947,0.411028834943718
"a_1","a","almond",1,"rcp26",2036,0.0283072851249628,8.88765450336017e-05,0,0.000691172523381588,0.000780049068415121,0.221041340412795,-0.10379337879153,0,0.0370107326818497,0.287823986522475,0.324834719204326
"a_1","a","almond",1,"rcp26",2037,0.188737542802436,0.000129858779941522,0,0.000934760021826622,0.0010646188017683,-0.248699970205878,-0.692037656942267,0,0.0540769062185468,0.389260780517842,0.443337686736389
"a_1","a","almond",1,"rcp26",2038,0.120846537427328,6.56666791312616e-05,0,0.000840556142593186,0.000906222821724493,-0.0657268955201697,-0.44310397056687,0,0.0273454813811083,0.350031593665591,0.3773770750467
"a_1","a","almond",1,"rcp26",2039,0.124786302980915,0.000123742718273489,0,0.000857498824800694,0.000981241543074149,-0.0489327635879402,-0.457549777596689,0,0.051530003395317,0.357087010613432,0.408617014008749
"a_1","a","almond",1,"rcp26",2040,0.0103285814098326,0.000109943126897095,0,0.000589389209950409,0.000699332336847504,0.253350500817866,-0.0378714651693862,0,0.0457834592721889,0.245438506715063,0.291221965987252
"a_1","a","almond",1,"rcp26",2041,0.100640178180351,9.48182175942224e-05,0,0.000748191197305593,0.000843009414899973,-0.017960780313654,-0.369013986661285,0,0.0394850148981893,0.311568191449442,0.351053206347631
"a_1","a","almond",1,"rcp26",2042,0.112408059639042,0.000128461466706985,0,0.000554346544524858,0.000682808011231843,-0.127822120665852,-0.412162885343155,0,0.0534950250644504,0.230845739612851,0.284340764677302
"a_1","a","almond",1,"rcp26",2043,0.179661677419981,0.000106343329764738,0,0.000816183311775636,0.000922526641540474,-0.274593032431724,-0.658759483873264,0,0.044284400894929,0.33988205054661,0.384166451441539
"a_1","a","almond",1,"rcp26",2044,0.11836482112369,7.6710438419771e-05,0,0.000609431806727045,0.000686142245146885,-0.148275109176875,-0.434004344120198,0,0.0319444182848045,0.253784816658518,0.285729234943323
"a_1","a","almond",1,"rcp26",2045,0.131656967320784,6.71215696524326e-05,0,0.000750147170720595,0.000817268740373027,-0.142408159482732,-0.482742213509541,0,0.0279513393624058,0.312382714664404,0.34033405402681
"a_1","a","almond",1,"rcp26",2046,0.0283561744527793,6.91740591287564e-05,0,0.000636739156754743,0.0007059132158836,0.189989792382765,-0.103972639660191,0,0.0288060546229036,0.265156377420053,0.293962432042956
