"site_name","crop","scenario.code","climate_scenario","year","soc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_soc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"h_1","hops",1,"rcp26",2022,-0.066415676613802,3.26998319806396e-05,-3.4732e-06,0.000445556926143,0.000478256758123,0.442554260011983,0.243524147583941,-0.000129666133333,0.013617144317652,0.185542634243723,0.199159778561375
"h_1","hops",1,"rcp26",2023,-0.083695081807046,4.37909852757055e-05,-4.2026e-06,0.000284397252944,0.00032818823822,0.4433920287608,0.306881966625835,-0.000156897066667,0.018235817439812,0.118431141761819,0.136666959201631
"h_1","hops",1,"rcp26",2024,-0.081084165709177,4.75269417068341e-05,-3.8866e-06,0.000410411204095,0.000457938145802,0.487862035725795,0.297308607600317,-0.000145099733333,0.019791576439346,0.170906951419465,0.190698527858811
"h_1","hops",1,"rcp26",2025,-0.07378629138421,4.55654637892758e-05,-3.5442e-06,0.000335246689871,0.000380812153661,0.42899847940701,0.270549735075437,-0.0001323168,0.018974760992248,0.139606300139325,0.158581061131573
"h_1","hops",1,"rcp26",2026,-0.06212779000742,5.66029249344987e-05,-3.9238e-06,0.000337719003642,0.000394321928576,0.391862325560519,0.227801896693874,-0.000146488533333,0.023571075169152,0.140635842230827,0.164206917399979
"h_1","hops",1,"rcp26",2027,-0.069819540732932,6.47177189623793e-05,-3.8364e-06,0.000338271377549,0.000402989096511,0.423677930848879,0.256004982687417,-0.0001432256,0.026950307253619,0.140865866507843,0.167816173761462
"h_1","hops",1,"rcp26",2028,-0.063284921991835,4.69492424328487e-05,-3.9556e-06,0.00030383771448,0.000350786956913,0.377974749579909,0.23204471397006,-0.000147675733333,0.019551005955965,0.126526705387217,0.146077711343182
"h_1","hops",1,"rcp26",2029,-0.062648849933119,4.88027542910858e-05,-4.2908e-06,0.000345342555943,0.000394145310234,0.393685628364269,0.229712449754771,-0.000160189866667,0.020322861251217,0.143810507224948,0.164133368476164
"h_1","hops",1,"rcp26",2030,-0.055761884004076,4.51483642632853e-05,-4.6048e-06,0.000337004445143,0.000382152809406,0.363427677303366,0.204460241348277,-0.000171912533333,0.018801068832497,0.140338279655926,0.159139348488422
"h_1","hops",1,"rcp26",2031,-0.055380581159499,5.38459914118282e-05,-4.52379999999999e-06,0.000284000468286,0.000337846459698,0.343582160959072,0.203062130918163,-0.000168888533333,0.022423009280783,0.11826590929346,0.140688918574243
"h_1","hops",1,"rcp26",2032,-0.06213113319668,4.86281553311066e-05,-4.20760000000001e-06,0.000346411851315,0.000395040006646,0.392163016945985,0.227814155054494,-0.000157083733333,0.020250153255739,0.144255792369085,0.164505945624824
"h_1","hops",1,"rcp26",2033,-0.064107084698891,5.65626632452649e-05,-4.8666e-06,0.000349244831153,0.000405807494398,0.403867459329771,0.235059310562601,-0.0001816864,0.023554309051421,0.145435526115749,0.16898983516717
"h_1","hops",1,"rcp26",2034,-0.070571185089908,6.70478681453629e-05,-4.4864e-06,0.000334156707658,0.000401204575803,0.425666568082057,0.25876101199633,-0.000167492266667,0.027920647949105,0.139152400403289,0.167073048352394
"h_1","hops",1,"rcp26",2035,-0.054520479915972,6.51888348286966e-05,-4.23299999999999e-06,0.000333135782558,0.000398324617387,0.36562414574188,0.199908426358564,-0.000158032,0.027146493360807,0.138727258022508,0.165873751383316
"h_1","hops",1,"rcp26",2036,-0.05032825204718,6.10548167523351e-05,-4.6674e-06,0.000322380621292,0.000383435438044,0.344036146272685,0.184536924172993,-0.0001742496,0.025424970119008,0.134248501580684,0.159673471699692
"h_1","hops",1,"rcp26",2037,-0.049612099109945,4.01919551751035e-05,-4.2046e-06,0.000306459966849,0.000346651922024,0.326109823007901,0.181911030069798,-0.000156971733333,0.01673707847649,0.127618686194947,0.144355764671436
"h_1","hops",1,"rcp26",2038,-0.043654077164317,4.83124238924778e-05,-5.3106e-06,0.000300143048425,0.000348455472318,0.304973501746366,0.160064949602497,-0.0001982624,0.020118673663796,0.124988140880073,0.145106814543869
"h_1","hops",1,"rcp26",2039,-0.061049207064114,5.4083403748075e-05,-4.837e-06,0.000335297165634,0.000389380569382,0.385815705484756,0.223847092568417,-0.000180581333333,0.022521874560806,0.139627319688866,0.162149194249672
"h_1","hops",1,"rcp26",2040,-0.058431596757613,4.34264747094942e-05,-4.274e-06,0.000309314162153,0.000352740636863,0.360980904938227,0.214249188111249,-0.000159562666667,0.018084024825454,0.12880725466819,0.146891279493644
"h_1","hops",1,"rcp26",2041,-0.040992199587161,6.04352542010841e-05,-5.27419999999999e-06,0.00029175452406,0.000352189778261,0.296769714585764,0.150304731819592,-0.000196903466667,0.02516696657088,0.121494919661959,0.146661886232839
"h_1","hops",1,"rcp26",2042,-0.039091522604992,5.0304248300966e-05,-5.0736e-06,0.000306583655959,0.00035688790426,0.291764488615929,0.143335582884972,-0.0001894144,0.020948126256759,0.127670193874198,0.148618320130958
"h_1","hops",1,"rcp26",2043,-0.036268082489084,5.40086116802336e-05,-6.1138e-06,0.000312702191365,0.000366710803046,0.285463576433073,0.132982969126642,-0.000228248533333,0.02249072900684,0.130218126832924,0.152708855839764
"h_1","hops",1,"rcp26",2044,-0.049717071964191,4.76397482229645e-05,-5.2088e-06,0.000302159896866,0.000349799645089,0.327768035159473,0.182295930535367,-0.000194461866667,0.019838552295706,0.125828014195067,0.145666566490773
"h_1","hops",1,"rcp26",2045,-0.052040580495494,5.60186106802136e-05,-5.621e-06,0.000299087376217,0.000355105986897,0.338481889979445,0.190815461816811,-0.000209850666667,0.023327750018975,0.124548528810327,0.147876278829301
"h_1","hops",1,"rcp26",2046,-0.057268944759059,4.58882053641073e-05,-5.4726e-06,0.000327102151927,0.000372990357291,0.365105662026475,0.209986130783217,-0.0002043104,0.019109159805196,0.136214681838062,0.155323841643258
"h_1","hops",1,"rcp26",2047,-0.038521582943068,5.77759819796396e-05,-6.0146e-06,0.000212246171623,0.000270022153603,0.253466198736865,0.141245804124583,-0.000224545066667,0.024059569638664,0.088385370040285,0.112444939678949
"h_1","hops",1,"rcp26",2048,-0.032823969956245,5.08259600792016e-05,-5.1904e-06,0.000393479434559,0.000444305394638,0.305182242340015,0.12035455650623,-0.000193774933333,0.021165381947268,0.163856078819851,0.185021460767119
"h_1","hops",1,"rcp26",2049,-0.027853731128368,4.68975574471489e-05,-5.7598e-06,0.000289029664765,0.000335927222212,0.241805008187192,0.102130347470684,-0.000215032533333,0.019529482851206,0.120360210398636,0.139889693249841
"h_1","hops",1,"rcp26",2050,-0.027868655543978,6.02296497329947e-05,-7.35780000000001e-06,0.000302190882277,0.00036242053201,0.252832643529414,0.10218507032792,-0.0002746912,0.025081346995954,0.12584091740554,0.150922264401494
"h_1","hops",1,"rcp26",2051,-0.048037650006278,6.02160721654433e-05,-7.3252e-06,0.000303008946291,0.000363225018456,0.327121851432618,0.176138050023019,-0.000273474133333,0.025075692908895,0.126181582634037,0.151257275542932
"h_1","hops",1,"rcp26",2052,-0.039867558647115,5.13281001700034e-05,-6.9398e-06,0.000309523589982,0.000360851690152,0.296190916333863,0.146181048372754,-0.000259085866667,0.021374487427937,0.128894466399839,0.150268953827776
"h_1","hops",1,"rcp26",2053,-0.038886835259115,4.7439512598252e-05,-6.5598e-06,0.000271611857539,0.000319051370138,0.275202269695456,0.142585062616755,-0.0002448992,0.019755168460558,0.113106937818142,0.1328621062787
"h_1","hops",1,"rcp26",2054,-0.041147959911346,6.12413803116063e-05,-7.49059999999999e-06,0.000316415787677,0.000377657167988,0.307863438896677,0.150875853008269,-0.000279649066667,0.025502660515476,0.131764574439598,0.157267234955074
"h_1","hops",1,"rcp26",2055,-0.037364703858535,5.38928473329467e-05,-7.31019999999999e-06,0.000312479065601,0.000366371912934,0.289298732329275,0.137003914147963,-0.000272914133333,0.022442521425077,0.130125210889568,0.152567732314645
"h_1","hops",1,"rcp26",2056,-0.03750165304699,5.41457839716795e-05,-8.3136e-06,0.000296926282637,0.000351072066608,0.283392125938457,0.137506061172295,-0.0003103744,0.022547851468207,0.123648587697956,0.146196439166162
"h_1","hops",1,"rcp26",2057,-0.048410504351575,4.65874221644433e-05,-7.103e-06,0.000307226386797,0.000353813808962,0.324578182973338,0.177505182622441,-0.000265178666667,0.019400333658479,0.127937845359085,0.147338179017564
"h_1","hops",1,"rcp26",2058,-0.03116486770765,5.76745157303146e-05,-7.22759999999999e-06,0.000304205040753,0.000361879556483,0.264698337930215,0.114271181594717,-0.0002698304,0.02401731619341,0.126679670542089,0.150696986735498
"h_1","hops",1,"rcp26",2059,-0.021719087372165,5.63406501370027e-05,-8.02920000000001e-06,0.000244185193574,0.000300525843711,0.20448444467171,0.079636653697938,-0.0002997568,0.023461856449909,0.101685691323863,0.125147547773772
"h_1","hops",1,"rcp26",2060,-0.026776172422454,5.24046173643473e-05,-8.23120000000001e-06,0.000347417206064,0.000399821823429,0.264369231505424,0.098179298882332,-0.000307298133333,0.021822779945296,0.144674450811129,0.166497230756425
"h_1","hops",1,"rcp26",2061,-0.036360776646706,6.7831455697114e-05,-9.00020000000001e-06,0.000318688299116,0.000386519754813,0.293944709563532,0.133322847704589,-0.000336007466667,0.02824695619387,0.13271091313174,0.160957869325609
"h_1","hops",1,"rcp26",2062,-0.046972767645062,5.04164240044801e-05,-8.0746e-06,0.000308918643442,0.000359335067446,0.321569418432807,0.172233481365228,-0.000301451733333,0.020994839424723,0.12864254937619,0.149637388800912
"h_1","hops",1,"rcp26",2063,-0.055941386465072,6.02601549150983e-05,-8.0896e-06,0.000315614043304,0.000375874198219,0.36134116070644,0.205118417038598,-0.000302011733333,0.025094050225359,0.131430705175816,0.156524755401175
"h_1","hops",1,"rcp26",2064,-0.038126761471695,4.63284038200764e-05,-7.6506e-06,0.000293596995711,0.000339925399531,0.28106715151527,0.139798125396216,-0.0002856224,0.01929247101936,0.122262177499693,0.141554648519053
"h_1","hops",1,"rcp26",2065,-0.045998994930103,5.70861886597732e-05,-7.36180000000001e-06,0.000302674457185,0.000359760645844,0.318202752682242,0.168662981410376,-0.000274840533333,0.023772319991891,0.126042291813308,0.149814611805199
"h_1","hops",1,"rcp26",2066,-0.03327745578188,6.47589572151443e-05,-8.4962e-06,0.000258563927087,0.000323322884302,0.256341033220311,0.122017337866895,-0.000317191466667,0.026967480040307,0.107673406779776,0.134640886820083
"h_1","hops",1,"rcp26",2067,-0.032551130557248,5.65117619152383e-05,-7.6844e-06,0.000336615713372,0.000393127475287,0.282776774033197,0.119354145376577,-0.000286884266667,0.023533112283274,0.140176400640013,0.163709512923287
"h_1","hops",1,"rcp26",2068,-0.028140612130686,5.63747240224805e-05,-8.2534e-06,0.000263000478218,0.000319375202241,0.235871076764624,0.103182244479182,-0.000308126933333,0.023476045789362,0.109520913429413,0.132996959218775
"h_1","hops",1,"rcp26",2069,-0.035509291253291,4.74221141822836e-05,-8.6948e-06,0.000319360354639,0.000366782468821,0.282614828245057,0.1302007345954,-0.000324605866667,0.019747923263051,0.132990776253273,0.152738699516324
"h_1","hops",1,"rcp26",2070,-0.037082893687356,5.68059766955339e-05,-8.24779999999999e-06,0.00030060793602,0.000357413912715,0.28450005740107,0.135970610186971,-0.000307917866667,0.023655631723926,0.12518173335684,0.148837365080766
"h_1","hops",1,"rcp26",2071,-0.037490805162705,5.04788882697654e-05,-8.1294e-06,0.000298705663931,0.000349184552201,0.282573212234496,0.137466285596584,-0.0003034976,0.021020851329481,0.124389572908432,0.145410424237913
"h_10","hops",1,"rcp26",2022,-0.310826884113853,0.000439700473905,-0.00080311359444,0.000696047067857,0.001135747541762,1.58267339387797,1.13969857508413,-0.029982907525756,0.183103840204924,0.289853886114672,0.472957726319596
"h_10","hops",1,"rcp26",2023,-0.337326245278572,0.000404034811272,-0.00092859771569,0.000700699371809,0.001104734183081,1.66223812897113,1.23686289935476,-0.034667648052438,0.168251639265505,0.291791238403299,0.460042877668805
"h_10","hops",1,"rcp26",2024,-0.317956251908046,0.000457627658529,-0.000944892033457,0.000665672619983,0.001123300278512,1.59833795134672,1.1658395903295,-0.035275969249049,0.190569232087505,0.277205098178758,0.467774330266263
"h_10","hops",1,"rcp26",2025,-0.276170266924415,0.000487718489786,-0.000845299711714,0.000681172904133,0.001168891393919,1.46782622947708,1.01262431205619,-0.031557855903998,0.203099913960799,0.283659859364086,0.486759773324885
"h_10","hops",1,"rcp26",2026,-0.281120273149337,0.000416429405244,-0.000843888487094,0.000632730378229,0.001049159783473,1.43616927452822,1.0307743348809,-0.031505170184833,0.173413102326652,0.263487007505497,0.43690010983215
"h_10","hops",1,"rcp26",2027,-0.264282129863235,0.000496978685834,-0.000856048767967,0.000621482300569,0.001118460986403,1.40283443292736,0.969034476165194,-0.031959154004115,0.206956124172184,0.2588029865941,0.465759110766284
"h_10","hops",1,"rcp26",2028,-0.236764754599296,0.000364072233965,-0.000851788838745,0.000584637394971,0.000948709628936,1.23140711236262,0.868137433530754,-0.031800116646472,0.15161008028672,0.243459715191615,0.395069795478335
"h_10","hops",1,"rcp26",2029,-0.253669371274511,0.000532246902306,-0.000865194016204,0.000636547382632,0.001168794284938,1.38453978577234,0.930121028006542,-0.032300576604961,0.221642817174589,0.265076517196172,0.486719334370761
