"site_name","crop","scenario.code","climate_scenario","year","soc","n2o","ch4","indirect_n2o","total_n2o","ghg","ghg_soc","ghg_ch4","ghg_n2o","ghg_indirect_n2o","ghg_total_n2o"
"a_1","almond",1,"rcp26",2022,0.140905925486925,3.73900109255463e-05,0,0.000508563638916,0.000545953649841,-0.289304361649049,-0.516655060118727,0,0.015570268835424,0.211780429634254,0.227350698469677
"a_1","almond",1,"rcp26",2023,0.201406438074141,5.39876071031552e-05,0,0.000760496240445,0.000814483847548,-0.399315927852297,-0.738490272938516,0,0.022481982100814,0.316692362985405,0.339174345086219
"a_1","almond",1,"rcp26",2024,0.139413768204629,3.37406926228811e-05,0,0.000819186484911,0.000852927177534,-0.156000570677189,-0.511183816750307,0,0.014050588427957,0.341132657645161,0.355183246073118
"a_1","almond",1,"rcp26",2025,0.210968305745354,5.50535336109555e-05,0,0.00053252558942,0.000587579123031,-0.528865719594399,-0.773550454399631,0,0.022925864353705,0.221758870451528,0.244684734805233
"a_1","almond",1,"rcp26",2026,0.131412398409804,3.77362424763738e-05,0,0.000682732519407,0.000720468761884,-0.18182168356583,-0.481845460835947,0,0.015714449545519,0.284309327724599,0.300023777270117
"a_1","almond",1,"rcp26",2027,0.222116143561067,2.84498414378219e-05,0,0.000610487599258,0.000638937440696,-0.548354054062798,-0.814425859723913,0,0.011847326827322,0.254224478833793,0.266071805661115
"a_1","almond",1,"rcp26",2028,0.101763142127186,3.40405491154558e-05,0,0.000757256644651,0.000791297193767,-0.043612761157244,-0.373131521133015,0,0.014175457238793,0.315343302736977,0.329518759975771
"a_1","almond",1,"rcp26",2029,0.146913280625935,2.16048840953798e-05,0,0.000760562536337,0.000782167420432,-0.212965167453279,-0.538682028961762,0,0.008996891019719,0.316719970488764,0.325716861508483
"a_1","almond",1,"rcp26",2030,0.137420167681626,5.70350723334167e-05,0,0.000714039405357,0.000771074477691,-0.182776504956183,-0.503873948165961,0,0.02375103369313,0.297346409516648,0.321097443209778
"a_1","almond",1,"rcp26",2031,0.174318205179904,2.80001237859393e-05,0,0.000755363771188,0.000783363894974,-0.312951644633432,-0.639166752326315,0,0.011660051548002,0.314555056144881,0.326215107692883
"a_1","almond",1,"rcp26",2032,0.089335793265614,7.56147526818841e-05,0,0.001050131953212,0.001125746705894,0.141228517218613,-0.32756457530725,0,0.031488143438242,0.437304949087621,0.468793092525862
"a_1","almond",1,"rcp26",2033,0.120361365417586,8.19636260955547e-05,0,0.000583976114548,0.000665939740644,-0.164008671677333,-0.441325006531148,0,0.034131995724078,0.243184339129737,0.277316334853815
"a_1","almond",1,"rcp26",2034,0.0989139585122,5.43560468546928e-05,0,0.000575437771481,0.000629793818336,-0.10042037448068,-0.362684514544733,0,0.022635410940204,0.239628729123848,0.262264140064053
"a_1","almond",1,"rcp26",2035,0.162571945797676,5.09978611651834e-05,0,0.000937820598001,0.000988818459166,-0.184324876238595,-0.596097134591479,0,0.02123696647093,0.390535291881954,0.411772258352885
"a_1","almond",1,"rcp26",2036,0.027785495896027,8.78410085476774e-05,0,0.000693823691534,0.000781664700082,0.223627362772539,-0.101880151618763,0,0.036579505702354,0.288928008688948,0.325507514391303
"a_1","almond",1,"rcp26",2037,0.186860064198285,0.000128524325052,0,0.000938471370481,0.001066995695533,-0.240826075515704,-0.685153568727047,0,0.053521201075123,0.39080629213622,0.444327493211342
"a_1","almond",1,"rcp26",2038,0.119614846115843,6.4812897541227e-05,0,0.000844769454191,0.000909582351732,-0.059811689762901,-0.438587769091423,0,0.02698994233324,0.351786136995283,0.378776079328522
"a_1","almond",1,"rcp26",2039,0.124863950427287,0.000122514705446,0,0.000860299332264,0.00098281403771,-0.048562639196521,-0.457834484900051,0,0.051018623768004,0.358253221935526,0.409271845703531
"a_1","almond",1,"rcp26",2040,0.010315833133109,0.000109066814265,0,0.000591612778903,0.000700679593169,0.253958280524504,-0.037824721488068,0,0.045418537654874,0.246364464357698,0.291783002012571
"a_1","almond",1,"rcp26",2041,0.099950231643195,9.39398453474198e-05,0,0.000749579597345,0.000843519442692,-0.015218586199112,-0.366484182691715,0,0.039119235598256,0.312146360894347,0.351265596492603
"a_1","almond",1,"rcp26",2042,0.111501740262716,0.000127052771233,0,0.000556612365291,0.000683665136524,-0.124142018158347,-0.408839714296627,0,0.052908404020625,0.231789292117655,0.28469769613828
